5717_61421_000000_000000	Bertram started forward with a quick cry.	Bertram started forward with a quick cry.	false	0	3.63	23.247557
5717_61421_000001_000000	"Dead!	"Dead!	false	3.63	3.84	25
5717_61421_000001_000001	Oh, Billy!	Oh, Billy!	false	3.84	4.26	18
5717_61421_000001_000002	Then you were--_there!_ Billy!"	Then you were-underscore there!underscore Billy!"	false	4.26	5.67	15
5717_61421_000002_000000	But his wife did not apparently hear him.	But his wife did not apparently hear him.	false	5.67	7.725	25.985163
5717_61421_000002_000001	She passed him without turning her head, and went on up the stairs, leaving him to meet the sorrowful, accusing eyes of William.	She passed him without turning her head, and went on up the stairs, leaving him to meet the sorrowful, accusing eyes of William.	false	7.725	15.78	22.722458
5717_61421_000003_000000	CHAPTER XV.	CHAPTER fifteen.	true	15.78	17.11	35.236275
5717_61421_000003_000001	AFTER THE STORM	AFTER THE STORM	true	17.12	18.79	22.182318
5717_61421_000004_000000	The young husband's apologies were profuse and abject.	The young husband's apologies were profuse and abject.	true	19.16	23.61	25.362803
5717_61421_000004_000001	Bertram was heartily ashamed of himself, and was man enough to acknowledge it. Almost on his knees he begged Billy to forgive him; and in a frenzy of self-denunciation he followed her down into the kitchen that night, piteously beseeching her to speak to him, to just _look_ at him, even, so that he might know he was not utterly despised--though he did, indeed, deserve to be more than despised, he moaned.	Bertram was heartily ashamed of himself, and was man enough to acknowledge it. Almost on his knees he begged Billy to forgive him; and in a frenzy of self denunciation he followed her down into the kitchen that night, piteously beseeching her to speak to him, to just underscore look underscore at him, even, so that he might know he was not utterly despised-though he did, indeed, deserve to be more than despised, he moaned.	false	23.61	49.9	22.869463
5717_61421_000005_000000	At first Billy did not speak, or even vouchsafe a glance in his direction.	At first Billy did not speak, or even vouchsafe a glance in his direction.	true	51.08	55.81	26.354727
5717_61421_000005_000001	Very quietly she went about her preparations for a simple meal, paying apparently no more attention to Bertram than as if he were not there.	Very quietly she went about her preparations for a simple meal, paying apparently no more attention to Bertram than as if he were not there.	false	55.85	64.96	24.360832
5717_61421_000005_000002	But that her ears were only seemingly, and not really deaf, was shown very clearly a little later, when, at a particularly abject wail on the part of the babbling shadow at her heels, Billy choked into a little gasp, half laughter, half sob.	But that her ears were only seemingly, and not really deaf, was shown very clearly a little later, when, at a particularly abject wail on the part of the babbling shadow at her heels, Billy choked into a little gasp, half laughter, half sob.	true	65.06	82.275	22.81834
5717_61421_000005_000003	It was all over then.	It was all over then.	true	82.275	83.65	22.238863
5717_61421_000005_000004	Bertram had her in his arms in a twinkling, while to the floor clattered and rolled a knife and a half-peeled baked potato.	Bertram had her in his arms in a twinkling, while to the floor clattered and rolled a knife and a half peeled baked potato.	true	83.93	92.05	25.052164
5717_61421_000006_000000	Naturally, after that, there could be no more dignified silences on the part of the injured wife.	Naturally, after that, there could be no more dignified silences on the part of the injured wife.	true	92.18	97.99	26.665665
