6258_49755_000002_000000	XII	twelve
6258_49755_000003_000000	THE LAY OF MILON	THE LAY OF MILON
6258_49755_000004_000002	I purpose in this place to show you the story of Milon, and--since few words are best--I will set out the adventure as briefly as I may.	I purpose in this place to show you the story of Milon, and-since few words are best-I will set out the adventure as briefly as I may.
6258_49755_000005_000001	So great was his prowess that from the day he was dubbed knight there was no champion who could stand before him in the lists.	So great was his prowess that from the day he was dubbed knight there was no champion who could stand before him in the lists.
6258_49755_000005_000002	He was a passing fair knight, open and brave, courteous to his friends, and stern to his foes.	He was a passing fair knight, open and brave, courteous to his friends, and stern to his foes.
6258_49755_000005_000004	Since he was praised by the frank, he was therefore envied of the mean.	Since he was praised by the frank, he was therefore envied of the mean.
6258_49755_000005_000005	Nevertheless, by reason of his skill with the spear, he was counted a very worshipful knight, and was honourably entreated by many a prince in divers lands.	Nevertheless, by reason of his skill with the spear, he was counted a very worshipful knight, and was honourably entreated by many a prince in divers lands.
6258_49755_000006_000001	With this baron dwelt his daughter, a passing fair and gracious damsel.	With this baron dwelt his daughter, a passing fair and gracious damsel.
6258_49755_000008_000001	He placed the ring in her hand, saying that he had done her will, as he was bidden to do.	He placed the ring in her hand, saying that he had done her will, as he was bidden to do.
6258_49755_000013_000000	"When the child is born," replied the lady, "you must carry him forthwith to my sister.	"When the child is born," replied the lady, "you must carry him forthwith to my sister.
6258_49755_000013_000001	She is a rich dame, pitiful and good, and is wedded to a lord of Northumberland.	She is a rich dame, pitiful and good, and is wedded to a lord of Northumberland.
6258_49755_000013_000002	You will send messages with the babe--both in writing and by speech--that the little innocent is her sister's child.	You will send messages with the babe-both in writing and by speech-that the little innocent is her sister's child.
6258_49755_000013_000003	Whether it be a boy or girl his mother will have suffered much because of him, and for her sister's sake you will pray her to cherish the babe.	Whether it be a boy or girl his mother will have suffered much because of him, and for her sister's sake you will pray her to cherish the babe.
6258_49755_000013_000006	If this be done, perchance the orphan will not be fatherless all his days."	If this be done, perchance the orphan will not be fatherless all his days."
6258_49755_000014_000001	The old nurse who tended her mistress was privy to the damsel's inmost mind.	The old nurse who tended her mistress was privy to the damsel's inmost mind.
6258_49755_000014_000005	The child was then placed in his cradle, swathed close in white linen.	The child was then placed in his cradle, swathed close in white linen.
6258_49755_000014_000009	The servitors set forth, bearing the infant with them.	The servitors set forth, bearing the infant with them.
6258_49755_000014_000011	They served their lord so faithfully, keeping such watch upon the way, that at the last they won to the lady to whom they were bidden.	They served their lord so faithfully, keeping such watch upon the way, that at the last they won to the lady to whom they were bidden.
6258_49755_000014_000014	These having bestowed the boy in accordance with their lord's commandment, returned to their own land.	These having bestowed the boy in accordance with their lord's commandment, returned to their own land.
6258_49755_000015_000001	Though this baron was a worthy knight, justly esteemed of all his fellows, the damsel was grieved beyond measure when she knew her father's will.	Though this baron was a worthy knight, justly esteemed of all his fellows, the damsel was grieved beyond measure when she knew her father's will.
6258_49755_000017_000000	So on the appointed day the lady was wedded to the baron, and her husband took her to dwell with him in his fief.	So on the appointed day the lady was wedded to the baron, and her husband took her to dwell with him in his fief.
6258_49755_000020_000001	He made him ready quickly, and went forth, bearing the swan with him.	He made him ready quickly, and went forth, bearing the swan with him.
6258_49755_000020_000002	He went by the nearest road, and passing through the streets of the city, came before the portal of the castle.	He went by the nearest road, and passing through the streets of the city, came before the portal of the castle.
6258_49755_000021_000000	"Friend," said he, "hearken to me.	"Friend," said he, "hearken to me.
6258_49755_000021_000001	I am of Caerleon, and a fowler by craft.	I am of Caerleon, and a fowler by craft.
6258_49755_000022_000000	"Friend," replied the porter, "fowlers are not always welcomed of ladies.	"Friend," replied the porter, "fowlers are not always welcomed of ladies.
6258_49755_000023_000000	The porter entered in the hall, where he found none but two lords seated at a great table, playing chess for their delight.	The porter entered in the hall, where he found none but two lords seated at a great table, playing chess for their delight.
6258_49755_000023_000002	They went therefore to the chamber of the lady.	They went therefore to the chamber of the lady.
6258_49755_000023_000004	When the swan was proffered to the lady it pleased her to receive the gift.	When the swan was proffered to the lady it pleased her to receive the gift.
6258_49755_000023_000005	She summoned a varlet of her household and gave the bird to his charge, commanding him to keep it safely, and to see that it ate enough and to spare.	She summoned a varlet of her household and gave the bird to his charge, commanding him to keep it safely, and to see that it ate enough and to spare.
6258_49755_000024_000002	The swan is fit to serve at a royal table, for the bird is plump as he is fair."	The swan is fit to serve at a royal table, for the bird is plump as he is fair."
6258_49755_000025_000000	The varlet put the swan in his lady's hands.	The varlet put the swan in his lady's hands.
6258_49755_000025_000001	She took the bird kindly, and smoothing his head and neck, felt the letter that was hidden beneath its feathers.	She took the bird kindly, and smoothing his head and neck, felt the letter that was hidden beneath its feathers.
6258_49755_000025_000004	When they had parted the lady called a maiden to her aid. She broke the seal, and unfastening the letter, came upon the name of Milon at the head.	When they had parted the lady called a maiden to her aid. She broke the seal, and unfastening the letter, came upon the name of Milon at the head.
6258_49755_000025_000005	She kissed the name a hundred times through her tears.	She kissed the name a hundred times through her tears.
6258_49755_000025_000007	In you--he wrote--is all my pleasure, and in your white hands it lies to heal me or to slay.	In you-he wrote-is all my pleasure, and in your white hands it lies to heal me or to slay.
6258_49755_000025_000008	Strive to find a plan by which we may speak as friend to friend, if you would have me live.	Strive to find a plan by which we may speak as friend to friend, if you would have me live.
6258_49755_000025_000009	The knight prayed her in his letter to send him an answer by means of the swan.	The knight prayed her in his letter to send him an answer by means of the swan.
6258_49755_000026_000001	She held him for a month within her chamber, but this was less from choice, than for the craft that was necessary to obtain the ink and parchment requisite for her writing.	She held him for a month within her chamber, but this was less from choice, than for the craft that was necessary to obtain the ink and parchment requisite for her writing.
6258_49755_000026_000002	At the end she wrote a letter according to her heart, and sealed it with her ring.	At the end she wrote a letter according to her heart, and sealed it with her ring.
6258_49755_000026_000003	The lady caused the swan to fast for three full days; then having concealed the message about his neck, let him take his flight.	The lady caused the swan to fast for three full days; then having concealed the message about his neck, let him take his flight.
6258_49755_000027_000001	Milon rejoiced greatly when he marked his own.	Milon rejoiced greatly when he marked his own.
6258_49755_000027_000004	He glanced from head to head of the letter, seeking the means that he hoped to find, and the salutation he so tenderly wished.	He glanced from head to head of the letter, seeking the means that he hoped to find, and the salutation he so tenderly wished.
6258_49755_000028_000001	There was no speech between them, save that carried by the bird.	There was no speech between them, save that carried by the bird.
6258_49755_000028_000003	He to whom the letter came, saw to it that the messenger was fed to heart's desire.	He to whom the letter came, saw to it that the messenger was fed to heart's desire.
6258_49755_000029_000006	He rejoiced greatly to hear of his father's prowess, and was proud beyond measure of his renown.	He rejoiced greatly to hear of his father's prowess, and was proud beyond measure of his renown.
6258_49755_000029_000007	He considered within himself, saying to his own heart, that much should be required of his father's son, and that he would not be worthy of his blood if he did not endeavour to merit his name.	He considered within himself, saying to his own heart, that much should be required of his father's son, and that he would not be worthy of his blood if he did not endeavour to merit his name.
6258_49755_000029_000011	He rode to Southampton, that he might find a ship equipped for sea, and so came to Barfleur.	He rode to Southampton, that he might find a ship equipped for sea, and so came to Barfleur.
6258_49755_000029_000014	What he took from the rich he bestowed on such knights as were poor and luckless.	What he took from the rich he bestowed on such knights as were poor and luckless.
6258_49755_000029_000015	These loved him greatly, since he gained largely and spent freely, granting of his wealth to all.	These loved him greatly, since he gained largely and spent freely, granting of his wealth to all.
6258_49755_000029_000018	Folk told how a certain knight from beyond the Humber, who had passed the sea in quest of wealth and honour, had so done, that by reason of his prowess, his liberality, and his modesty, men called him the Knight Peerless, since they did not know his name.	Folk told how a certain knight from beyond the Humber, who had passed the sea in quest of wealth and honour, had so done, that by reason of his prowess, his liberality, and his modesty, men called him the Knight Peerless, since they did not know his name.
6258_49755_000030_000002	He marvelled greatly that the stout spears of the past had not put on their harness and broken a lance for their ancient honour.	He marvelled greatly that the stout spears of the past had not put on their harness and broken a lance for their ancient honour.
6258_49755_000030_000003	One thing he determined, that he would cross the sea without delay, so that he might joust with the dansellon, and abate his pride.	One thing he determined, that he would cross the sea without delay, so that he might joust with the dansellon, and abate his pride.
6258_49755_000030_000006	Milon caused his friend to know of his wishes.	Milon caused his friend to know of his wishes.
6258_49755_000030_000007	He opened out to her all his thought, and craved her permission to depart.	He opened out to her all his thought, and craved her permission to depart.
6258_49755_000031_000001	She approved his desire to quit the realm for the sake of his honour, and far from putting let and hindrance in his path, trusted that in the end he would bring again her son.	She approved his desire to quit the realm for the sake of his honour, and far from putting let and hindrance in his path, trusted that in the end he would bring again her son.
6258_49755_000031_000006	At that time a tournament was proclaimed to be held at Mont St. Michel.	At that time a tournament was proclaimed to be held at Mont st Michel.
6258_49755_000031_000011	Now in this tournament a knight could joust with that lord who was set over against him, or he could seek to break a lance with his chosen foe.	Now in this tournament a knight could joust with that lord who was set over against him, or he could seek to break a lance with his chosen foe.
6258_49755_000031_000014	But the Knight Peerless carried the cry from all his fellows, for none might stand before him, nor rival him in skill and address.	But the Knight Peerless carried the cry from all his fellows, for none might stand before him, nor rival him in skill and address.
6258_49755_000031_000015	Milon observed him curiously.	Milon observed him curiously.
6258_49755_000031_000016	The lad struck so heavily, he thrust home so shrewdly, that Milon's hatred changed to envy as he watched.	The lad struck so heavily, he thrust home so shrewdly, that Milon's hatred changed to envy as he watched.
6258_49755_000031_000017	Very comely showed the varlet, and much to Milon's mind.	Very comely showed the varlet, and much to Milon's mind.
6258_49755_000031_000019	Milon struck his adversary so fiercely, that the lance splintered in his gauntlet; but the young knight kept his seat without even losing a stirrup.	Milon struck his adversary so fiercely, that the lance splintered in his gauntlet; but the young knight kept his seat without even losing a stirrup.
6258_49755_000032_000000	"Sir," said he, "I pray you to get upon your horse.	"Sir," said he, "I pray you to get upon your horse.
6258_49755_000033_000000	Milon sprang upon his steed.	Milon sprang upon his steed.
