1731_142320_000000_000000	CHAPTER XLVI	CHAPTER forty six	true	1.23	2.46	18
1731_142320_000001_000000	ONCE AND NOW	ONCE AND NOW	false	2.46	32.19	19.735977
1731_142320_000002_000000	'So on those happy days of yore Oft as I dare to dwell once more, Still must I miss the friends so tried, Whom Death has severed from my side.	'So on those happy days of yore Oft as I dare to dwell once more, Still must I miss the friends so tried, Whom Death has severed from my side.	true	32.19	43.84	23
1731_142320_000003_000000	But ever when true friendship binds, Spirit it is that spirit finds; In spirit then our bliss we found, In spirit yet to them I'm bound.' UHLAND.	But ever when true friendship binds, Spirit it is that spirit finds; In spirit then our bliss we found, In spirit yet to them I'm bound.' UHLAND.	true	44.06	56.5	24.174469
1731_142320_000004_000000	Margaret was ready long before the appointed time, and had leisure enough to cry a little, quietly, when unobserved, and to smile brightly when any one looked at her.	Margaret was ready long before the appointed time, and had leisure enough to cry a little, quietly, when unobserved, and to smile brightly when any one looked at her.	true	58.31	69.28	22.413544
1731_142320_000004_000001	Her last alarm was lest they should be too late and miss the train; but no! they were all in time; and she breathed freely and happily at length, seated in the carriage opposite to Mr. Bell, and whirling away past the well-known stations; seeing the old south country-towns and hamlets sleeping in the warm light of the pure sun, which gave a yet ruddier colour to their tiled roofs, so different to the cold slates of the north.	Her last alarm was lest they should be too late and miss the train; but no! they were all in time; and she breathed freely and happily at length, seated in the carriage opposite to mr Bell, and whirling away past the well-known stations; seeing the old south country towns and hamlets sleeping in the warm light of the pure sun, which gave a yet ruddier colour to their tiled roofs, so different to the cold slates of the north.	true	69.53	98.92	21.097473
1731_142320_000004_000002	Broods of pigeons hovered around these peaked quaint gables, slowly settling here and there, and ruffling their soft, shiny feathers, as if exposing every fibre to the delicious warmth.	Broods of pigeons hovered around these peaked quaint gables, slowly settling here and there, and ruffling their soft, shiny feathers, as if exposing every fibre to the delicious warmth.	true	99.17	112.42	18
1731_142320_000004_000003	There were few people about at the stations, it almost seemed as if they were too lazily content to wish to travel; none of the bustle and stir that Margaret had noticed in her two journeys on the London and North-Western line.	There were few people about at the stations, it almost seemed as if they were too lazily content to wish to travel; none of the bustle and stir that Margaret had noticed in her two journeys on the London and north-western line.	false	112.85	127.14	21.052683
1731_142320_000004_000004	Later on in the year, this line of railway should be stirring and alive with rich pleasure-seekers; but as to the constant going to and fro of busy trades-people it would always be widely different from the northern lines.	Later on in the year, this line of railway should be stirring and alive with rich pleasure seekers; but as to the constant going to and fro of busy trades people it would always be widely different from the northern lines.	true	127.14	141.31	20
1731_142320_000004_000005	Here a spectator or two stood lounging at nearly every station, with his hands in his pockets, so absorbed in the simple act of watching, that it made the travellers wonder what he could find to do when the train whirled away, and only the blank of a railway, some sheds, and a distant field or two were left for him to gaze upon.	Here a spectator or two stood lounging at nearly every station, with his hands in his pockets, so absorbed in the simple act of watching, that it made the travellers wonder what he could find to do when the train whirled away, and only the blank of a railway, some sheds, and a distant field or two were left for him to gaze upon.	false	141.47	164.05	20
1731_142320_000004_000006	The hot air danced over the golden stillness of the land, farm after farm was left behind, each reminding Margaret of German Idyls--of Herman and Dorothea--of Evangeline.	The hot air danced over the golden stillness of the land, farm after farm was left behind, each reminding Margaret of German Idyls-of Herman and Dorothea-of Evangeline.	true	164.33	177.22	20.460377
