2598_4662_000005_000000	CHAPTER XII	CHAPTER twelve
2598_4662_000006_000000	THE REFORM OF WILLIAM	THE REFORM OF WILLIAM
2598_4662_000007_000000	To William the idea of reform was new and startling and not wholly unattractive.	To William the idea of reform was new and startling and not wholly unattractive.
2598_4662_000007_000001	It originated with the housemaid whose brother was a reformed burglar now employed in a grocer's shop.	It originated with the housemaid whose brother was a reformed burglar now employed in a grocer's shop.
2598_4662_000008_000000	"'E's got conversion," she said to William.	"'E's got conversion," she said to William.
2598_4662_000009_000000	William was deeply interested.	William was deeply interested.
2598_4662_000009_000001	The point was all innocently driven in later by the Sunday-school mistress.	The point was all innocently driven in later by the Sunday school mistress.
2598_4662_000009_000002	William's family had no real faith in the Sunday-school as a corrective to William's inherent wickedness, but they knew that no Sabbath peace or calm was humanly possible while William was in the house.	William's family had no real faith in the Sunday school as a corrective to William's inherent wickedness, but they knew that no Sabbath peace or calm was humanly possible while William was in the house.
2598_4662_000010_000000	Fortunately for William, most of his friends' parents were inspired by the same zeal, so that he met his old cronies of the week-days--Henry, Ginger, Douglas and all the rest--and together they beguiled the monotony of the Sabbath.	Fortunately for William, most of his friends' parents were inspired by the same zeal, so that he met his old cronies of the week days-Henry, Ginger, Douglas and all the rest-and together they beguiled the monotony of the Sabbath.
2598_4662_000011_000000	But this Sunday the tall, pale lady who, for her sins, essayed to lead William and his friends along the straight and narrow path of virtue, was almost inspired.	But this Sunday the tall, pale lady who, for her sins, essayed to lead William and his friends along the straight and narrow path of virtue, was almost inspired.
2598_4662_000011_000001	She was like some prophetess of old.	She was like some prophetess of old.
2598_4662_000011_000002	She was so emphatic that the red cherries that hung coquettishly over the edge of her hat rattled against it as though in applause.	She was so emphatic that the red cherries that hung coquettishly over the edge of her hat rattled against it as though in applause.
2598_4662_000013_000000	William's fascinated eye wandered from the cherries to the distant view out of the window.	William's fascinated eye wandered from the cherries to the distant view out of the window.
2598_4662_000013_000001	He thought suddenly of the noble burglar who had turned his back upon the mysterious, nefarious tools of his trade and now dispensed margarine to his former victims.	He thought suddenly of the noble burglar who had turned his back upon the mysterious, nefarious tools of his trade and now dispensed margarine to his former victims.
2598_4662_000014_000000	Opposite him sat a small girl in a pink and white checked frock.	Opposite him sat a small girl in a pink and white checked frock.
2598_4662_000014_000001	He often whiled away the dullest hours of Sunday-school by putting out his tongue at her or throwing paper pellets at her (manufactured previously for the purpose).	He often whiled away the dullest hours of Sunday school by putting out his tongue at her or throwing paper pellets at her (manufactured previously for the purpose).
2598_4662_000014_000002	But to-day, meeting her serious eye, he looked away hastily.	But to day, meeting her serious eye, he looked away hastily.
2598_4662_000016_000000	Determined and eager was the eye that the small girl turned upon William, and William realised that his time had come.	Determined and eager was the eye that the small girl turned upon William, and William realised that his time had come.
2598_4662_000016_000001	He was to be converted.	He was to be converted.
2598_4662_000016_000002	He felt almost thrilled by the prospect.	He felt almost thrilled by the prospect.
2598_4662_000016_000003	He was so enthralled that he received absent-mindedly, and without gratitude, the mountainous bull's-eye passed to him from Ginger, and only gave a half-hearted smile when a well-aimed pellet from Henry's hand sent one of the prophetess's cherries swinging high in the air.	He was so enthralled that he received absent mindedly, and without gratitude, the mountainous bull's eye passed to him from Ginger, and only gave a half hearted smile when a well aimed pellet from Henry's hand sent one of the prophetess's cherries swinging high in the air.
2598_4662_000017_000000	After the class the pink-checked girl (whose name most appropriately was Deborah) stalked William for several yards and finally cornered him.	After the class the pink checked girl (whose name most appropriately was Deborah) stalked William for several yards and finally cornered him.
2598_4662_000020_000000	"William, I think you ought to turn.	"William, I think you ought to turn.
2598_4662_000020_000001	I'll help you," she added sweetly.	I'll help you," she added sweetly.
2598_4662_000021_000000	William drew a deep breath.	William drew a deep breath.
2598_4662_000021_000001	"All right, I will," he said.	"All right, I will," he said.
2598_4662_000022_000000	She heaved a sigh of relief.	She heaved a sigh of relief.
2598_4662_000024_000000	William considered.	William considered.
2598_4662_000024_000001	There were several things that he had wanted to do for some time, but hadn't managed to do yet.	There were several things that he had wanted to do for some time, but hadn't managed to do yet.
2598_4662_000024_000003	There were, in short, whole fields of crime entirely unexplored.	There were, in short, whole fields of crime entirely unexplored.
2598_4662_000024_000004	All these things--and others--must be done before the reformation.	All these things-and others-must be done before the reformation.
2598_4662_000025_000001	"Say day after to-morrow."	"Say day after to morrow."
2598_4662_000026_000000	She considered this for a minute.	She considered this for a minute.
2598_4662_000027_000000	"Very well," she said at last reluctantly, "day after to-morrow."	"Very well," she said at last reluctantly, "day after to morrow."
2598_4662_000028_000000	The next day dawned bright and fair.	The next day dawned bright and fair.
