868_131295_000001_000001	Flowers	Flowers
868_131295_000003_000001	We eat, drink, sing, dance, and flirt with them.	We eat, drink, sing, dance, and flirt with them.
868_131295_000003_000003	We dare not die without them.	We dare not die without them.
868_131295_000003_000004	We have worshipped with the lily, we have meditated with the lotus, we have charged in battle array with the rose and the chrysanthemum.	We have worshipped with the lily, we have meditated with the lotus, we have charged in battle array with the rose and the chrysanthemum.
868_131295_000003_000005	We have even attempted to speak in the language of flowers.	We have even attempted to speak in the language of flowers.
868_131295_000003_000006	How could we live without them?	How could we live without them?
868_131295_000003_000007	It frightens one to conceive of a world bereft of their presence.	It frightens one to conceive of a world bereft of their presence.
868_131295_000003_000008	What solace do they not bring to the bedside of the sick, what a light of bliss to the darkness of weary spirits?	What solace do they not bring to the bedside of the sick, what a light of bliss to the darkness of weary spirits?
868_131295_000004_000004	We devastate nature in order to make sacrifice to him.	We devastate nature in order to make sacrifice to him.
868_131295_000004_000006	What atrocities do we not perpetrate in the name of culture and refinement!	What atrocities do we not perpetrate in the name of culture and refinement!
868_131295_000005_000002	To-morrow a ruthless hand will close around your throats.	To morrow a ruthless hand will close around your throats.
868_131295_000005_000004	The wretch, she may be passing fair.	The wretch, she may be passing fair.
868_131295_000005_000006	Tell me, will this be kindness?	Tell me, will this be kindness?
868_131295_000006_000001	He would call himself a Master of Flowers.	He would call himself a Master of Flowers.
868_131295_000006_000002	He would claim the rights of a doctor and you would instinctively hate him, for you know a doctor always seeks to prolong the troubles of his victims.	He would claim the rights of a doctor and you would instinctively hate him, for you know a doctor always seeks to prolong the troubles of his victims.
868_131295_000006_000003	He would cut, bend, and twist you into those impossible positions which he thinks it proper that you should assume.	He would cut, bend, and twist you into those impossible positions which he thinks it proper that you should assume.
868_131295_000006_000005	He would burn you with red-hot coals to stop your bleeding, and thrust wires into you to assist your circulation.	He would burn you with red hot coals to stop your bleeding, and thrust wires into you to assist your circulation.
868_131295_000006_000009	Would you not have preferred to have been killed at once when you were first captured?	Would you not have preferred to have been killed at once when you were first captured?
868_131295_000007_000002	Beside this utter carelessness of life, the guilt of the Flower-Master becomes insignificant.	Beside this utter carelessness of life, the guilt of the Flower Master becomes insignificant.
868_131295_000007_000003	He, at least, respects the economy of nature, selects his victims with careful foresight, and after death does honour to their remains.	He, at least, respects the economy of nature, selects his victims with careful foresight, and after death does honour to their remains.
