6286_69422_000003_000002	Was the child determined to share her vigil?	Was the child determined to share her vigil?
6286_69422_000004_000000	Their rooms were over the parlour and thus as far removed as possible from the judge's den.	Their rooms were over the parlour and thus as far removed as possible from the judge's den.
6286_69422_000004_000001	In her own, which was front, she felt at perfect ease, and it was without any fear of disturbing either him or Reuther that she finally raised her window and allowed the cool wind to soothe her heated cheeks.	In her own, which was front, she felt at perfect ease, and it was without any fear of disturbing either him or Reuther that she finally raised her window and allowed the cool wind to soothe her heated cheeks.
6286_69422_000005_000000	How calm the aspect of the lawn and its clustering shrubs.	How calm the aspect of the lawn and its clustering shrubs.
6286_69422_000006_000000	Perched, as she was, in a window overlooking the lane, she had but to lift her eyes from the double fence (that symbol of sad seclusion) to light on the trees rising above that unspeakable ravine, black with memories she felt strangely like forgetting to-night.	Perched, as she was, in a window overlooking the lane, she had but to lift her eyes from the double fence (that symbol of sad seclusion) to light on the trees rising above that unspeakable ravine, black with memories she felt strangely like forgetting to night.
6286_69422_000006_000002	But the moon loved it; caressed it; dallied with it, lighting up its toppling chimney and empty, staring gable.	But the moon loved it; caressed it; dallied with it, lighting up its toppling chimney and empty, staring gable.
6286_69422_000006_000004	There, hidden but always seen by those who remembered the traditions of the place, mouldered away the walls of that old closet where the timorous, God-stricken suicide had breathed out his soul.	There, hidden but always seen by those who remembered the traditions of the place, mouldered away the walls of that old closet where the timorous, God stricken suicide had breathed out his soul.
6286_69422_000006_000005	She had stood in it only the other day, penned from outsiders' view by the judge's outstretched arms.	She had stood in it only the other day, penned from outsiders' view by the judge's outstretched arms.
6286_69422_000006_000006	Then, she had no mind for bygone horrors, her own tragedy weighed too heavily upon her; but to-night, as she gazed, fascinated, anxious to forget herself, anxious to indulge in any thought which would relieve her from dwelling on the question she must settle before she slept, she allowed her wonder and her revulsion to have free course.	Then, she had no mind for bygone horrors, her own tragedy weighed too heavily upon her; but to night, as she gazed, fascinated, anxious to forget herself, anxious to indulge in any thought which would relieve her from dwelling on the question she must settle before she slept, she allowed her wonder and her revulsion to have free course.
6286_69422_000006_000007	Instead of ignoring, she would recall the story of the place as it had been told her when she first came to settle in its neighbourhood.	Instead of ignoring, she would recall the story of the place as it had been told her when she first came to settle in its neighbourhood.
6286_69422_000007_000000	Spencer's Folly!	Spencer's Folly!
6286_69422_000007_000001	Well, it had been that, and Spencer's den of dissipation too!	Well, it had been that, and Spencer's den of dissipation too!
6286_69422_000008_000000	This was long before she herself had come to Shelby; but she had been told the story so often that it was quite as vivid to her as if she had been one of the innumerable men and women who had crowded the glistening, swimming streets to view this spectacle of destruction.	This was long before she herself had come to Shelby; but she had been told the story so often that it was quite as vivid to her as if she had been one of the innumerable men and women who had crowded the glistening, swimming streets to view this spectacle of destruction.
6286_69422_000008_000001	The family had been gone for months, and so no pity mingled with the excitement.	The family had been gone for months, and so no pity mingled with the excitement.
6286_69422_000008_000002	Not till the following day did the awful nature of the event break in its full horror upon the town.	Not till the following day did the awful nature of the event break in its full horror upon the town.
6286_69422_000008_000003	Among the ruins, in a closet which the flames had spared, they found hunched up in one corner, the body of a man, in whose seared throat a wound appeared which had not been made by lightning or fire.	Among the ruins, in a closet which the flames had spared, they found hunched up in one corner, the body of a man, in whose seared throat a wound appeared which had not been made by lightning or fire.
6286_69422_000008_000004	Spencer!	Spencer!
6286_69422_000008_000005	Spencer himself, returned they knew not how, to die of this self-inflicted wound, in the dark corner of his grand but neglected dwelling.	Spencer himself, returned they knew not how, to die of this self inflicted wound, in the dark corner of his grand but neglected dwelling.
6286_69422_000009_000000	And this was what made the horror of the place till the tragedy of the opposite hollow added crime to crime, and the spot became outlawed to all sensitive citizens.	And this was what made the horror of the place till the tragedy of the opposite hollow added crime to crime, and the spot became outlawed to all sensitive citizens.
6286_69422_000011_000001	Innocence was asleep at last.	Innocence was asleep at last.
6286_69422_000011_000002	Not a movement disturbed the closed lids on the wax-like cheek.	Not a movement disturbed the closed lids on the wax like cheek.
6286_69422_000011_000003	Even the breath came so softly that it hardly lifted the youthful breast.	Even the breath came so softly that it hardly lifted the youthful breast.
6286_69422_000011_000004	Repose the most perfect and in the form of all others the sweetest to a tender mother, lay before her and touched her already yearning heart to tears.	Repose the most perfect and in the form of all others the sweetest to a tender mother, lay before her and touched her already yearning heart to tears.
6286_69422_000011_000006	Yes, she was right.	Yes, she was right.
6286_69422_000011_000007	Sorrow was slowly sapping the fountain of her darling's youth.	Sorrow was slowly sapping the fountain of her darling's youth.
6286_69422_000011_000008	If Reuther was to be saved, hope must come soon.	If Reuther was to be saved, hope must come soon.
6286_69422_000011_000009	With a sob and a prayer, the mother left the room, and locking herself into her own, sat down at last to face the new perplexity, the monstrous enigma which had come into her life.	With a sob and a prayer, the mother left the room, and locking herself into her own, sat down at last to face the new perplexity, the monstrous enigma which had come into her life.
6286_69422_000013_000000	"I am really sorry to trouble you, Mrs. Scoville; but if you have time this morning, will you clean up my study before I leave?	"I am really sorry to trouble you, mrs Scoville; but if you have time this morning, will you clean up my study before I leave?
6286_69422_000013_000001	The carriage is ordered for half-past nine."	The carriage is ordered for half past nine."
6286_69422_000015_000001	You will be choked, Judge."	You will be choked, Judge."
6286_69422_000016_000000	"No more than I have been for the last two days.	"No more than I have been for the last two days.
6286_69422_000017_000000	"He will lock it when he goes out," she commented to herself.	"He will lock it when he goes out," she commented to herself.
6286_69422_000017_000001	"I had better hasten."	"I had better hasten."
