93_124558_000002_000000	1.	one.
93_124558_000007_000000	3.	three.
93_124558_000007_000001	Tzu-kung asked, And what of me?	Tzu kung asked, And what of me?
93_124558_000008_000000	Thou art a vessel, said the Master.	Thou art a vessel, said the Master.
93_124558_000009_000000	What kind of vessel?	What kind of vessel?
93_124558_000010_000000	A rich temple vessel.	A rich temple vessel.
93_124558_000011_000000	4.	four.
93_124558_000015_000000	5.	five.
93_124558_000018_000000	6.	six.
93_124558_000019_000000	When Tzu-lu heard this he was glad.	When Tzu lu heard this he was glad.
93_124558_000021_000000	7.	seven.
93_124558_000029_000000	8.	eight.
93_124558_000032_000000	9.	nine.
93_124558_000038_000001	Why chide with Yue?	Why chide with Yue?
93_124558_000039_000002	I righted this on Yue.	I righted this on Yue.
93_124558_000040_000000	10.	ten.
93_124558_000040_000001	The Master said, I have met no firm man.	The Master said, I have met no firm man.
93_124558_000046_000000	13.	thirteen.
93_124558_000047_000000	14.	fourteen.
93_124558_000050_000000	16.	sixteen.
93_124558_000051_000000	17.	seventeen.
93_124558_000052_000000	18.	eighteen.
93_124558_000053_000000	He was faithful, said the Master.	He was faithful, said the Master.
93_124558_000055_000000	I do not know, said the Master: how should this amount to love?	I do not know, said the Master: how should this amount to love?
93_124558_000056_000001	On coming to another kingdom he said, 'Like my lord Ts'ui,' and left it.	On coming to another kingdom he said, 'Like my lord Ts'ui,' and left it.
93_124558_000059_000000	I do not know, said the Master: how should this amount to love?	I do not know, said the Master: how should this amount to love?
93_124558_000060_000000	19.	nineteen.
93_124558_000060_000001	Chi Wen thought thrice before acting.	Chi Wen thought thrice before acting.
93_124558_000062_000000	20.	twenty.
93_124558_000064_000000	21.	twenty one.
93_124558_000065_000000	22.	twenty two.
93_124558_000066_000000	23.	twenty three.
93_124558_000067_000000	24.	twenty four.
93_124558_000068_000000	25.	twenty five.
