98_121658_000000_000000	Mistress Mary	Mistress Mary	false	10.89	14.52	22.093267
98_121658_000001_000000	Mistress Mary	Mistress Mary	false	14.52	22.89	26.432276
98_121658_000002_000000	Mistress Mary, quite contrary, How does your garden grow? With dingle bells and cockle shells And cowslips, all in a row.	Mistress Mary, quite contrary, How does your garden grow? With dingle bells and cockle shells And cowslips, all in a row.	true	22.89	31.84	23.16277
98_121658_000003_000000	High upon a cliff that overlooked the sea was a little white cottage, in which dwelt a sailor and his wife, with their two strong sons and a little girl.	High upon a cliff that overlooked the sea was a little white cottage, in which dwelt a sailor and his wife, with their two strong sons and a little girl.	false	33.98	43.48	25.77365
98_121658_000003_000001	The sons were also sailors, and had made several voyages with their father in a pretty ship called the "Skylark." Their names were Hobart and Robart.	The sons were also sailors, and had made several voyages with their father in a pretty ship called the "Skylark." Their names were Hobart and Robart.	false	44.15	54.16	23.697037
98_121658_000003_000002	The little girl's name was Mary, and she was very happy indeed when her father and her brothers were at home, for they petted her and played games with her and loved her very dearly But when the "Skylark" went to sea, and her mother and herself were left alone in the little white cottage, the hours were very dull and tedious, and Mary counted the days until the sailors came home again.	The little girl's name was Mary, and she was very happy indeed when her father and her brothers were at home, for they petted her and played games with her and loved her very dearly But when the "Skylark" went to sea, and her mother and herself were left alone in the little white cottage, the hours were very dull and tedious, and Mary counted the days until the sailors came home again.	false	54.86	80.47	25.044762
98_121658_000004_000000	One spring, just as the grasses began to grow green upon the cliff and the trees were dressing their stiff, barren branches in robes of delicate foliage, the father and brothers bade good-bye to Mary and her mother, for they were starting upon a voyage to the Black Sea.	One spring, just as the grasses began to grow green upon the cliff and the trees were dressing their stiff, barren branches in robes of delicate foliage, the father and brothers bade good bye to Mary and her mother, for they were starting upon a voyage to the Black Sea.	true	82.04	98.77	24.965267
98_121658_000005_000000	"And how long will you be gone, papa?" asked Mary, who was perched upon her father's knee, where she could nestle her soft cheek against his bushy whiskers.	"And how long will you be gone, papa?" asked Mary, who was perched upon her father's knee, where she could nestle her soft cheek against his bushy whiskers.	true	100.25	109.33	24.046904
98_121658_000006_000000	"How long?" he repeated, stroking her curls tenderly as he spoke; "well, well, my darling, it will be a long time indeed!	"How long?" he repeated, stroking her curls tenderly as he spoke; "well, well, my darling, it will be a long time indeed!	true	110.21	119.53	23.490131
98_121658_000006_000001	Do you know the cowslips that grow in the pastures, Mary?"	Do you know the cowslips that grow in the pastures, Mary?"	true	120.11	123.13	25.295404
98_121658_000007_000000	"Oh, yes; I watch for them every spring," she answered.	"Oh, yes; I watch for them every spring," she answered.	true	124.1	127.63	23.635735
98_121658_000008_000000	"And do you know the dingle-bells that grow near the edge of the wood?" he asked again.	"And do you know the dingle bells that grow near the edge of the wood?" he asked again.	true	128.45	132.76	24.572065
98_121658_000009_000000	"I know them well, papa," replied Mary, "for often I gather their blue blossoms and put them in a vase upon the table."	"I know them well, papa," replied Mary, "for often I gather their blue blossoms and put them in a vase upon the table."	false	133.25	140.77	24.838596
98_121658_000010_000000	"And how about the cockle-shells?"	"And how about the cockle shells?"	true	141.53	143.32	29.047468
98_121658_000011_000000	"Them also I know," said Mary eagerly, for she was glad her father should find her so well acquainted with the field flowers; "there is nothing prettier than the big white flowers of the cockle-shells.	"Them also I know," said Mary eagerly, for she was glad her father should find her so well acquainted with the field flowers; "there is nothing prettier than the big white flowers of the cockle shells.	true	143.81	155.23	22.103342
98_121658_000011_000001	But tell me, papa, what have the flowers to do with your coming home?"	But tell me, papa, what have the flowers to do with your coming home?"	true	155.63	160.12	25.46756
98_121658_000012_000000	"Why, just this, sweetheart," returned the sailor gravely; "all the time that it takes the cowslips and dingle-bells and cockle-shells to sprout from the ground, and grow big and strong, and blossom into flower, and, yes--to wither and die away again--all that time shall your brothers and I sail the seas.	"Why, just this, sweetheart," returned the sailor gravely; "all the time that it takes the cowslips and dingle bells and cockle shells to sprout from the ground, and grow big and strong, and blossom into flower, and, yes-to wither and die away again-all that time shall your brothers and I sail the seas.	false	161.3	180.79	23.712534
