688_1070_000000_000000	"And now," he said quietly, "how long are you and I to play OUR little comedy, Mr. Bailey?"	"And now," he said quietly, "how long are you and I to play OUR little comedy, mr Bailey?"	false	3.39	19.8	24.9999
688_1070_000001_000000	CHAPTER XXXIV	CHAPTER thirty four	true	19.8	21.25	23.484987
688_1070_000002_000000	THE ODDS AND ENDS	THE ODDS AND ENDS	true	21.59	23.08	25.463343
688_1070_000003_000000	Of Doctor Walker's sensational escape that night to South America, of the recovery of over a million dollars in cash and securities in the safe from the chimney room--the papers have kept the public well informed.	Of Doctor Walker's sensational escape that night to South America, of the recovery of over a million dollars in cash and securities in the safe from the chimney room-the papers have kept the public well informed.	true	24.05	36.1	23.40039
688_1070_000003_000001	Of my share in discovering the secret chamber they have been singularly silent.	Of my share in discovering the secret chamber they have been singularly silent.	true	36.35	40.63	20.360655
688_1070_000003_000002	The inner history has never been told.	The inner history has never been told.	true	40.73	43.12	22.183119
688_1070_000003_000003	Mr. Jamieson got all kinds of credit, and some of it he deserved, but if Jack Bailey, as Alex, had not traced Halsey and insisted on the disinterring of Paul Armstrong's casket, if he had not suspected the truth from the start, where would the detective have been?	mr Jamieson got all kinds of credit, and some of it he deserved, but if Jack Bailey, as Alex, had not traced Halsey and insisted on the disinterring of Paul Armstrong's casket, if he had not suspected the truth from the start, where would the detective have been?	false	43.4	58.27	23.676142
688_1070_000004_000000	When Halsey learned the truth, he insisted on going the next morning, weak as he was, to Louise, and by night she was at Sunnyside, under Gertrude's particular care, while her mother had gone to Barbara Fitzhugh's.	When Halsey learned the truth, he insisted on going the next morning, weak as he was, to Louise, and by night she was at Sunnyside, under Gertrude's particular care, while her mother had gone to Barbara Fitzhugh's.	true	58.85	71.5	24.153732
688_1070_000005_000000	What Halsey said to Mrs. Armstrong I never knew, but that he was considerate and chivalrous I feel confident.	What Halsey said to mrs Armstrong I never knew, but that he was considerate and chivalrous I feel confident.	true	71.63	77.805	23.404135
688_1070_000005_000001	It was Halsey's way always with women.	It was Halsey's way always with women.	false	77.805	80.02	22.549229
688_1070_000006_000000	He and Louise had no conversation together until that night.	He and Louise had no conversation together until that night.	true	80.93	84.25	21.384726
688_1070_000006_000001	Gertrude and Alex--I mean Jack--had gone for a walk, although it was nine o'clock, and anybody but a pair of young geese would have known that dew was falling, and that it is next to impossible to get rid of a summer cold.	Gertrude and Alex-I mean Jack-had gone for a walk, although it was nine o'clock, and anybody but a pair of young geese would have known that dew was falling, and that it is next to impossible to get rid of a summer cold.	true	84.38	96.13	24.809153
688_1070_000007_000000	At half after nine, growing weary of my own company, I went downstairs to find the young people.	At half after nine, growing weary of my own company, I went downstairs to find the young people.	true	96.26	101.92	26.078407
688_1070_000007_000001	At the door of the living-room I paused. Gertrude and Jack had returned and were there, sitting together on a divan, with only one lamp lighted.	At the door of the living room I paused. Gertrude and Jack had returned and were there, sitting together on a divan, with only one lamp lighted.	true	102.41	110.53	24.683104
688_1070_000007_000002	They did not see or hear me, and I beat a hasty retreat to the library.	They did not see or hear me, and I beat a hasty retreat to the library.	true	110.6	114.94	24.615585
688_1070_000007_000003	But here again I was driven back. Louise was sitting in a deep chair, looking the happiest I had ever seen her, with Halsey on the arm of the chair, holding her close.	But here again I was driven back. Louise was sitting in a deep chair, looking the happiest I had ever seen her, with Halsey on the arm of the chair, holding her close.	true	115.22	124.57	24.24462
688_1070_000008_000000	It was no place for an elderly spinster.	It was no place for an elderly spinster.	true	125.09	127.54	24.095716
688_1070_000008_000001	I retired to my upstairs sitting-room and got out Eliza Klinefelter's lavender slippers.	I retired to my upstairs sitting room and got out Eliza Klinefelter's lavender slippers.	true	127.61	133.38	27.125187
688_1070_000008_000002	Ah, well, the foster motherhood would soon have to be put away in camphor again.	Ah, well, the foster motherhood would soon have to be put away in camphor again.	true	133.38	137.56	24.14643
688_1070_000009_000000	The next day, by degrees, I got the whole story.	The next day, by degrees, I got the whole story.	true	138.2	141.16	29.5511
688_1070_000010_000000	Paul Armstrong had a besetting evil--the love of money.	Paul Armstrong had a besetting evil-the love of money.	true	141.59	145.24	25.16976
688_1070_000010_000001	Common enough, but he loved money, not for what it would buy, but for its own sake. An examination of the books showed no irregularities in the past year since John had been cashier, but before that, in the time of Anderson, the old cashier, who had died, much strange juggling had been done with the records.	Common enough, but he loved money, not for what it would buy, but for its own sake. An examination of the books showed no irregularities in the past year since john had been cashier, but before that, in the time of Anderson, the old cashier, who had died, much strange juggling had been done with the records.	true	145.34	163.15	24.372465
688_1070_000010_000002	The railroad in New Mexico had apparently drained the banker's private fortune, and he determined to retrieve it by one stroke.	The railroad in New Mexico had apparently drained the banker's private fortune, and he determined to retrieve it by one stroke.	true	163.52	170.38	20.562698
688_1070_000010_000003	This was nothing less than the looting of the bank's securities, turning them into money, and making his escape.	This was nothing less than the looting of the bank's securities, turning them into money, and making his escape.	true	170.57	176.68	22.04112
