70_121130_000000_000000	"Ah, very good."	"Ah, very good."	false	0	0.45	3
70_121130_000001_000000	"Hush, gentlemen, here is the court; let us go back to our places." A noise was heard in the hall; the sergeant called his two patrons with an energetic "hem!" and the door-keeper appearing, called out with that shrill voice peculiar to his order, ever since the days of Beaumarchais, "The court, gentlemen!"	"Hush, gentlemen, here is the court; let us go back to our places." A noise was heard in the hall; the sergeant called his two patrons with an energetic "hem!" and the door keeper appearing, called out with that shrill voice peculiar to his order, ever since the days of Beaumarchais, "The court, gentlemen!"	false	0.45	16.41	19.728336
70_121130_000002_000000	Chapter 110.	Chapter one hundred ten.	true	16.41	17.82	18
70_121130_000002_000001	The Indictment.	The Indictment.	true	17.82	24.79	14
70_121130_000003_000000	The judges took their places in the midst of the most profound silence; the jury took their seats; M. de Villefort, the object of unusual attention, and we had almost said of general admiration, sat in the arm-chair and cast a tranquil glance around him.	The judges took their places in the midst of the most profound silence; the jury took their seats; m de Villefort, the object of unusual attention, and we had almost said of general admiration, sat in the arm chair and cast a tranquil glance around him.	false	24.95	39.37	20.542683
70_121130_000003_000001	Every one looked with astonishment on that grave and severe face, whose calm expression personal griefs had been unable to disturb, and the aspect of a man who was a stranger to all human emotions excited something very like terror.	Every one looked with astonishment on that grave and severe face, whose calm expression personal griefs had been unable to disturb, and the aspect of a man who was a stranger to all human emotions excited something very like terror.	true	39.92	52.57	21.345636
70_121130_000004_000000	"Gendarmes," said the president, "lead in the accused."	"Gendarmes," said the president, "lead in the accused."	true	53.69	56.77	22.318037
70_121130_000005_000000	At these words the public attention became more intense, and all eyes were turned towards the door through which Benedetto was to enter. The door soon opened and the accused appeared.	At these words the public attention became more intense, and all eyes were turned towards the door through which Benedetto was to enter. The door soon opened and the accused appeared.	false	56.84	63.36	22.390131
70_121130_000005_000001	The same impression was experienced by all present, and no one was deceived by the expression of his countenance.	The same impression was experienced by all present, and no one was deceived by the expression of his countenance.	false	63.36	68.11	17
70_121130_000005_000002	His features bore no sign of that deep emotion which stops the beating of the heart and blanches the cheek.	His features bore no sign of that deep emotion which stops the beating of the heart and blanches the cheek.	true	68.27	73.45	20.474802
70_121130_000005_000003	His hands, gracefully placed, one upon his hat, the other in the opening of his white waistcoat, were not at all tremulous; his eye was calm and even brilliant.	His hands, gracefully placed, one upon his hat, the other in the opening of his white waistcoat, were not at all tremulous; his eye was calm and even brilliant.	true	73.55	82.96	22.487598
70_121130_000005_000004	Scarcely had he entered the hall when he glanced at the whole body of magistrates and assistants; his eye rested longer on the president, and still more so on the king's attorney.	Scarcely had he entered the hall when he glanced at the whole body of magistrates and assistants; his eye rested longer on the president, and still more so on the king's attorney.	true	83.69	92.53	20.56574
70_121130_000005_000005	By the side of Andrea was stationed the lawyer who was to conduct his defence, and who had been appointed by the court, for Andrea disdained to pay any attention to those details, to which he appeared to attach no importance.	By the side of Andrea was stationed the lawyer who was to conduct his defence, and who had been appointed by the court, for Andrea disdained to pay any attention to those details, to which he appeared to attach no importance.	true	93.2	104.26	21.043085
70_121130_000005_000006	The lawyer was a young man with light hair whose face expressed a hundred times more emotion than that which characterized the prisoner.	The lawyer was a young man with light hair whose face expressed a hundred times more emotion than that which characterized the prisoner.	true	105.11	111.91	21.185745
70_121130_000006_000000	The president called for the indictment, revised as we know, by the clever and implacable pen of Villefort.	The president called for the indictment, revised as we know, by the clever and implacable pen of Villefort.	false	112.34	117.81	22.564
70_121130_000006_000001	During the reading of this, which was long, the public attention was continually drawn towards Andrea, who bore the inspection with Spartan unconcern.	During the reading of this, which was long, the public attention was continually drawn towards Andrea, who bore the inspection with Spartan unconcern.	true	117.81	125.01	17
70_121130_000006_000002	Villefort had never been so concise and eloquent.	Villefort had never been so concise and eloquent.	false	125.01	128.74	18.620571
70_121130_000006_000003	The crime was depicted in the most vivid colors; the former life of the prisoner, his transformation, a review of his life from the earliest period, were set forth with all the talent that a knowledge of human life could furnish to a mind like that of the procureur.	The crime was depicted in the most vivid colors; the former life of the prisoner, his transformation, a review of his life from the earliest period, were set forth with all the talent that a knowledge of human life could furnish to a mind like that of the procureur.	false	128.9	143.37	22.008755
70_121130_000006_000004	Benedetto was thus forever condemned in public opinion before the sentence of the law could be pronounced.	Benedetto was thus forever condemned in public opinion before the sentence of the law could be pronounced.	true	143.37	148.57	23.031483
70_121130_000006_000005	Andrea paid no attention to the successive charges which were brought against him.	Andrea paid no attention to the successive charges which were brought against him.	true	150.05	153.48	19
70_121130_000006_000006	M. de Villefort, who examined him attentively, and who no doubt practiced upon him all the psychological studies he was accustomed to use, in vain endeavored to make him lower his eyes, notwithstanding the depth and profundity of his gaze.	M. de Villefort, who examined him attentively, and who no doubt practiced upon him all the psychological studies he was accustomed to use, in vain endeavored to make him lower his eyes, notwithstanding the depth and profundity of his gaze.	false	153.48	167.56	21.511147
70_121130_000006_000007	At length the reading of the indictment was ended.	At length the reading of the indictment was ended.	true	167.96	170.35	19.45903
70_121130_000007_000000	"Accused," said the president, "your name and surname?" Andrea arose. "Excuse me, Mr. President," he said, in a clear voice, "but I see you are going to adopt a course of questions through which I cannot follow you.	"Accused," said the president, "your name and surname?" Andrea arose. "Excuse me, mr President," he said, in a clear voice, "but I see you are going to adopt a course of questions through which I cannot follow you.	true	170.48	183.19	20.222607
70_121130_000007_000001	I have an idea, which I will explain by and by, of making an exception to the usual form of accusation.	I have an idea, which I will explain by and by, of making an exception to the usual form of accusation.	true	183.2	189.1	21
70_121130_000007_000002	Allow me, then, if you please, to answer in different order, or I will not do so at all." The astonished president looked at the jury, who in turn looked at Villefort.	Allow me, then, if you please, to answer in different order, or I will not do so at all." The astonished president looked at the jury, who in turn looked at Villefort.	true	189.41	199	18.643106
70_121130_000007_000003	The whole assembly manifested great surprise, but Andrea appeared quite unmoved.	The whole assembly manifested great surprise, but Andrea appeared quite unmoved.	true	199.13	203.8	22.548923
70_121130_000007_000004	"Your age?" said the president; "will you answer that question?"	"Your age?" said the president; "will you answer that question?"	true	204.17	207.61	20.486889
70_121130_000008_000000	"I will answer that question, as well as the rest, Mr. President, but in its turn."	"I will answer that question, as well as the rest, mr President, but in its turn."	false	208.13	212.29	22.87405
70_121130_000009_000000	"Your age?" repeated the president.	"Your age?" repeated the president.	true	213.17	215.62	19.831533
70_121130_000010_000000	"I am twenty-one years old, or rather I shall be in a few days, as I was born the night of the 27th of September, 1817." M. de Villefort, who was busy taking down some notes, raised his head at the mention of this date.	"I am twenty one years old, or rather I shall be in a few days, as I was born the night of the twenty seventh of September, eighteen seventeen." m de Villefort, who was busy taking down some notes, raised his head at the mention of this date.	false	216.38	228.94	22.648224
70_121130_000010_000001	"Where were you born?" continued the president.	"Where were you born?" continued the president.	true	229.91	232.05	19.87702
70_121130_000011_000000	"At Auteuil, near Paris." M. de Villefort a second time raised his head, looked at Benedetto as if he had been gazing at the head of Medusa, and became livid.	"At Auteuil, near Paris." m de Villefort a second time raised his head, looked at Benedetto as if he had been gazing at the head of Medusa, and became livid.	false	232.05	241.36	21.373043
