6160_44912_000000_000000	From that day her life changed entirely.	From that day her life changed entirely.	false	27.69	30.25	25.284124
6160_44912_000000_000001	Sometimes she used to feel as if it must be another life altogether, the life of some other child.	Sometimes she used to feel as if it must be another life altogether, the life of some other child.	true	30.26	36.49	26.09013
6160_44912_000000_000002	She was a little drudge and outcast; she was given her lessons at odd times and expected to learn without being taught; she was sent on errands by Miss Minchin, Miss Amelia and the cook.	She was a little drudge and outcast; she was given her lessons at odd times and expected to learn without being taught; she was sent on errands by Miss Minchin, Miss Amelia and the cook.	true	36.71	48.48	23.95944
6160_44912_000000_000003	Nobody took any notice of her except when they ordered her about.	Nobody took any notice of her except when they ordered her about.	true	48.48	52.3	25
6160_44912_000000_000004	She was often kept busy all day and then sent into the deserted school-room with a pile of books to learn her lessons or practise at night.	She was often kept busy all day and then sent into the deserted school room with a pile of books to learn her lessons or practise at night.	false	52.43	61.87	26.818506
6160_44912_000000_000005	She had never been intimate with the other pupils, and soon she became so shabby that, taking her queer clothes together with her queer little ways, they began to look upon her as a being of another world than their own.	She had never been intimate with the other pupils, and soon she became so shabby that, taking her queer clothes together with her queer little ways, they began to look upon her as a being of another world than their own.	true	62.03	75.07	23
6160_44912_000000_000006	The fact was that, as a rule, Miss Minchin's pupils were rather dull, matter-of-fact young people, accustomed to being rich and comfortable; and Sara, with her elfish cleverness, her desolate life, and her odd habit of fixing her eyes upon them and staring them out of countenance, was too much for them.	The fact was that, as a rule, Miss Minchin's pupils were rather dull, matter of fact young people, accustomed to being rich and comfortable; and Sara, with her elfish cleverness, her desolate life, and her odd habit of fixing her eyes upon them and staring them out of countenance, was too much for them.	true	75.47	94.48	24.57417
6160_44912_000001_000000	"She always looks as if she was finding you out," said one girl, who was sly and given to making mischief.	"She always looks as if she was finding you out," said one girl, who was sly and given to making mischief.	false	95.39	102.24	20
6160_44912_000001_000001	"I am," said Sara promptly, when she heard of it.	"I am," said Sara promptly, when she heard of it.	true	102.24	105.34	25.68199
6160_44912_000001_000002	"That's what I look at them for.	"That's what I look at them for.	true	105.71	107.955	22.00724
6160_44912_000001_000003	I like to know about people.	I like to know about people.	true	107.955	109.845	29.379192
6160_44912_000001_000004	I think them over afterward."	I think them over afterward."	true	109.845	112.18	23.750034
