7720_105167_000001_000000	Chapter XII	Chapter twelve
7720_105167_000003_000001	To have been thus close to safety and then to have all hope snatched away by a cruel stroke of fate seemed unendurable.	To have been thus close to safety and then to have all hope snatched away by a cruel stroke of fate seemed unendurable.
7720_105167_000003_000003	He noted the remnants of the uniforms upon the blacks and immediately he demanded to know where were their officers.	He noted the remnants of the uniforms upon the blacks and immediately he demanded to know where were their officers.
7720_105167_000004_000000	"They cannot understand you," said the girl and so in the bastard tongue that is the medium of communication between the Germans and the blacks of their colony, she repeated the white man's question.	"They cannot understand you," said the girl and so in the bastard tongue that is the medium of communication between the Germans and the blacks of their colony, she repeated the white man's question.
7720_105167_000005_000000	Usanga grinned.	Usanga grinned.
7720_105167_000005_000001	"You know where they are, white woman," he replied. "They are dead, and if this white man does not do as I tell him, he, too, will be dead."	"You know where they are, white woman," he replied. "They are dead, and if this white man does not do as I tell him, he, too, will be dead."
7720_105167_000006_000000	"What do you want of him?" asked the girl.	"What do you want of him?" asked the girl.
7720_105167_000007_000000	"I want him to teach me how to fly like a bird," replied Usanga.	"I want him to teach me how to fly like a bird," replied Usanga.
7720_105167_000008_000000	Bertha Kircher looked her astonishment, but repeated the demand to the lieutenant.	Bertha Kircher looked her astonishment, but repeated the demand to the lieutenant.
7720_105167_000009_000000	The Englishman meditated for a moment.	The Englishman meditated for a moment.
7720_105167_000009_000001	"He wants to learn to fly, does he?" he repeated.	"He wants to learn to fly, does he?" he repeated.
7720_105167_000010_000000	The girl put the question to Usanga, who, degraded, cunning, and entirely unprincipled, was always perfectly willing to promise anything whether he had any intentions of fulfilling his promises or not, and so immediately assented to the proposition.	The girl put the question to Usanga, who, degraded, cunning, and entirely unprincipled, was always perfectly willing to promise anything whether he had any intentions of fulfilling his promises or not, and so immediately assented to the proposition.
7720_105167_000011_000000	"Let the white man teach me to fly," he said, "and I will take you back close to the settlements of your people, but in return for this I shall keep the great bird," and he waved a black hand in the direction of the aeroplane.	"Let the white man teach me to fly," he said, "and I will take you back close to the settlements of your people, but in return for this I shall keep the great bird," and he waved a black hand in the direction of the aeroplane.
7720_105167_000012_000000	When Bertha Kircher had repeated Usanga's proposition to the aviator, the latter shrugged his shoulders and with a wry face finally agreed.	When Bertha Kircher had repeated Usanga's proposition to the aviator, the latter shrugged his shoulders and with a wry face finally agreed.
7720_105167_000012_000001	"I fancy there is no other way out of it," he said. "In any event the plane is lost to the British government.	"I fancy there is no other way out of it," he said. "In any event the plane is lost to the British government.
7720_105167_000012_000002	If I refuse the black scoundrel's request, there is no doubt but what he will make short work of me with the result that the machine will lie here until it rots.	If I refuse the black scoundrel's request, there is no doubt but what he will make short work of me with the result that the machine will lie here until it rots.
7720_105167_000012_000003	If I accept his offer it will at least be the means of assuring your safe return to civilization and that" he added, "is worth more to me than all the planes in the British Air Service."	If I accept his offer it will at least be the means of assuring your safe return to civilization and that" he added, "is worth more to me than all the planes in the British Air Service."
7720_105167_000013_000000	The girl cast a quick glance at him.	The girl cast a quick glance at him.
7720_105167_000013_000002	She regretted that he had spoken as he had and he, too, regretted it almost instantly as he saw the shadow cross her face and realized that he had unwittingly added to the difficulties of her already almost unbearable situation.	She regretted that he had spoken as he had and he, too, regretted it almost instantly as he saw the shadow cross her face and realized that he had unwittingly added to the difficulties of her already almost unbearable situation.
7720_105167_000014_000000	"Forgive me," he said quickly.	"Forgive me," he said quickly.
7720_105167_000014_000001	"Please forget what that remark implied.	"Please forget what that remark implied.
7720_105167_000015_000000	She smiled and thanked him, but the thing had been said and could never be unsaid, and Bertha Kircher knew even more surely than as though he had fallen upon his knees and protested undying devotion that the young English officer loved her.	She smiled and thanked him, but the thing had been said and could never be unsaid, and Bertha Kircher knew even more surely than as though he had fallen upon his knees and protested undying devotion that the young English officer loved her.
7720_105167_000016_000001	The Englishman attempted to dissuade him, but immediately the black became threatening and abusive, since, like all those who are ignorant, he was suspicious that the intentions of others were always ulterior unless they perfectly coincided with his wishes.	The Englishman attempted to dissuade him, but immediately the black became threatening and abusive, since, like all those who are ignorant, he was suspicious that the intentions of others were always ulterior unless they perfectly coincided with his wishes.
7720_105167_000017_000000	"All right, old top," muttered the Englishman, "I will give you the lesson of your life," and then turning to the girl: "Persuade him to let you accompany us.	"All right, old top," muttered the Englishman, "I will give you the lesson of your life," and then turning to the girl: "Persuade him to let you accompany us.
7720_105167_000017_000001	I shall be afraid to leave you here with these devilish scoundrels." But when she put the suggestion to Usanga the black immediately suspected some plan to thwart him--possibly to carry him against his will back to the German masters he had traitorously deserted, and glowering at her savagely, he obstinately refused to entertain the suggestion.	I shall be afraid to leave you here with these devilish scoundrels." But when she put the suggestion to Usanga the black immediately suspected some plan to thwart him-possibly to carry him against his will back to the German masters he had traitorously deserted, and glowering at her savagely, he obstinately refused to entertain the suggestion.
7720_105167_000018_000000	"The white woman will remain here with my people," he said.	"The white woman will remain here with my people," he said.
7720_105167_000018_000001	"They will not harm her unless you fail to bring me back safely."	"They will not harm her unless you fail to bring me back safely."
7720_105167_000019_000000	"Tell him," said the Englishman, "that if you are not standing in plain sight in this meadow when I return, I will not land, but will carry Usanga back to the British camp and have him hanged."	"Tell him," said the Englishman, "that if you are not standing in plain sight in this meadow when I return, I will not land, but will carry Usanga back to the British camp and have him hanged."
7720_105167_000020_000000	Usanga promised that the girl would be in evidence upon their return, and took immediate steps to impress upon his warriors that under penalty of death they must not harm her.	Usanga promised that the girl would be in evidence upon their return, and took immediate steps to impress upon his warriors that under penalty of death they must not harm her.
7720_105167_000020_000002	Once seated within what he already considered his new possession, the black's courage began to wane and when the motor was started and the great propeller commenced to whir, he screamed to the Englishman to stop the thing and permit him to alight, but the aviator could neither hear nor understand the black above the noise of the propeller and exhaust.	Once seated within what he already considered his new possession, the black's courage began to wane and when the motor was started and the great propeller commenced to whir, he screamed to the Englishman to stop the thing and permit him to alight, but the aviator could neither hear nor understand the black above the noise of the propeller and exhaust.
