492_131887_000000_000000	Chapter VI	Chapter six	true	21.435	22.48	19.241802
492_131887_000001_000000	IN WHICH FIX, THE DETECTIVE, BETRAYS A VERY NATURAL IMPATIENCE	IN WHICH FIX, THE DETECTIVE, BETRAYS A VERY NATURAL IMPATIENCE	false	22.52	27.01	19.91403
492_131887_000002_000000	The circumstances under which this telegraphic dispatch about Phileas Fogg was sent were as follows:	The circumstances under which this telegraphic dispatch about Phileas Fogg was sent were as follows:	true	28.1	35.26	20
492_131887_000003_000000	The steamer Mongolia, belonging to the Peninsular and Oriental Company, built of iron, of two thousand eight hundred tons burden, and five hundred horse-power, was due at eleven o'clock a.m. on Wednesday, the 9th of October, at Suez.	The steamer Mongolia, belonging to the Peninsular and Oriental Company, built of iron, of two thousand eight hundred tons burden, and five hundred horse power, was due at eleven o'clock a.m. on Wednesday, the ninth of October, at Suez.	true	35.66	54.9	20
492_131887_000003_000001	The Mongolia plied regularly between Brindisi and Bombay via the Suez Canal, and was one of the fastest steamers belonging to the company, always making more than ten knots an hour between Brindisi and Suez, and nine and a half between Suez and Bombay.	The Mongolia plied regularly between Brindisi and Bombay via the Suez Canal, and was one of the fastest steamers belonging to the company, always making more than ten knots an hour between Brindisi and Suez, and nine and a half between Suez and Bombay.	false	54.9	76.27	20
492_131887_000004_000000	Two men were promenading up and down the wharves, among the crowd of natives and strangers who were sojourning at this once straggling village--now, thanks to the enterprise of M. Lesseps, a fast-growing town.	Two men were promenading up and down the wharves, among the crowd of natives and strangers who were sojourning at this once straggling village-now, thanks to the enterprise of m Lesseps, a fast growing town.	false	77.21	96.01	19.713036
492_131887_000004_000001	One was the British consul at Suez, who, despite the prophecies of the English Government, and the unfavourable predictions of Stephenson, was in the habit of seeing, from his office window, English ships daily passing to and fro on the great canal, by which the old roundabout route from England to India by the Cape of Good Hope was abridged by at least a half.	One was the British consul at Suez, who, despite the prophecies of the English Government, and the unfavourable predictions of Stephenson, was in the habit of seeing, from his office window, English ships daily passing to and fro on the great canal, by which the old roundabout route from England to India by the Cape of Good Hope was abridged by at least a half.	false	96.11	128.02	19.974571
492_131887_000004_000002	The other was a small, slight-built personage, with a nervous, intelligent face, and bright eyes peering out from under eyebrows which he was incessantly twitching.	The other was a small, slight built personage, with a nervous, intelligent face, and bright eyes peering out from under eyebrows which he was incessantly twitching.	false	128.12	143.98	21.48165
492_131887_000004_000003	He was just now manifesting unmistakable signs of impatience, nervously pacing up and down, and unable to stand still for a moment.	He was just now manifesting unmistakable signs of impatience, nervously pacing up and down, and unable to stand still for a moment.	true	144.68	156.07	18.291094
492_131887_000004_000004	This was Fix, one of the detectives who had been dispatched from England in search of the bank robber; it was his task to narrowly watch every passenger who arrived at Suez, and to follow up all who seemed to be suspicious characters, or bore a resemblance to the description of the criminal, which he had received two days before from the police headquarters at London.	This was Fix, one of the detectives who had been dispatched from England in search of the bank robber; it was his task to narrowly watch every passenger who arrived at Suez, and to follow up all who seemed to be suspicious characters, or bore a resemblance to the description of the criminal, which he had received two days before from the police headquarters at London.	false	156.26	182.17	20
492_131887_000004_000005	The detective was evidently inspired by the hope of obtaining the splendid reward which would be the prize of success, and awaited with a feverish impatience, easy to understand, the arrival of the steamer Mongolia.	The detective was evidently inspired by the hope of obtaining the splendid reward which would be the prize of success, and awaited with a feverish impatience, easy to understand, the arrival of the steamer Mongolia.	false	182.36	199.09	20
492_131887_000005_000000	"So you say, consul," asked he for the twentieth time, "that this steamer is never behind time?"	"So you say, consul," asked he for the twentieth time, "that this steamer is never behind time?"	true	199.79	206.59	20
492_131887_000006_000000	"No, Mr. Fix," replied the consul.	"No, mr Fix," replied the consul.	true	206.93	209.74	18
492_131887_000006_000001	"She was bespoken yesterday at Port Said, and the rest of the way is of no account to such a craft.	"She was bespoken yesterday at Port Said, and the rest of the way is of no account to such a craft.	false	210.47	218.47	19
492_131887_000006_000002	I repeat that the Mongolia has been in advance of the time required by the company's regulations, and gained the prize awarded for excess of speed."	I repeat that the Mongolia has been in advance of the time required by the company's regulations, and gained the prize awarded for excess of speed."	false	218.69	228.97	19.647871
492_131887_000007_000000	"Does she come directly from Brindisi?"	"Does she come directly from Brindisi?"	true	229.82	232.72	16
492_131887_000008_000000	"Directly from Brindisi; she takes on the Indian mails there, and she left there Saturday at five p.m. Have patience, Mr. Fix; she will not be late.	"Directly from Brindisi; she takes on the Indian mails there, and she left there Saturday at five p.m. Have patience, mr Fix; she will not be late.	true	233.15	245.29	20.972893
492_131887_000008_000001	But really, I don't see how, from the description you have, you will be able to recognise your man, even if he is on board the Mongolia."	But really, I don't see how, from the description you have, you will be able to recognise your man, even if he is on board the Mongolia."	true	245.39	255.73	16
492_131887_000009_000000	"A man rather feels the presence of these fellows, consul, than recognises them.	"A man rather feels the presence of these fellows, consul, than recognises them.	true	256.91	263.14	17
492_131887_000009_000001	You must have a scent for them, and a scent is like a sixth sense which combines hearing, seeing, and smelling.	You must have a scent for them, and a scent is like a sixth sense which combines hearing, seeing, and smelling.	false	263.36	271.96	19
492_131887_000009_000002	I've arrested more than one of these gentlemen in my time, and, if my thief is on board, I'll answer for it; he'll not slip through my fingers."	I've arrested more than one of these gentlemen in my time, and, if my thief is on board, I'll answer for it; he'll not slip through my fingers."	true	272.06	281.92	18
492_131887_000010_000000	"I hope so, Mr. Fix, for it was a heavy robbery."	"I hope so, mr Fix, for it was a heavy robbery."	false	282.53	286.78	20
492_131887_000011_000000	"A magnificent robbery, consul; fifty-five thousand pounds!	"A magnificent robbery, consul; fifty five thousand pounds!	true	288.26	292.69	18.868769
492_131887_000011_000001	We don't often have such windfalls.	We don't often have such windfalls.	true	292.88	296.08	19
492_131887_000011_000002	Burglars are getting to be so contemptible nowadays!	Burglars are getting to be so contemptible nowadays!	true	296.21	300.37	16
492_131887_000011_000003	A fellow gets hung for a handful of shillings!"	A fellow gets hung for a handful of shillings!"	true	300.44	304.54	17.770145
492_131887_000012_000000	"Mr.	"mr	true	305.27	305.73	16.13029
492_131887_000012_000001	Fix," said the consul, "I like your way of talking, and hope you'll succeed; but I fear you will find it far from easy.	Fix," said the consul, "I like your way of talking, and hope you'll succeed; but I fear you will find it far from easy.	true	305.73	315.46	20.7293
492_131887_000012_000002	Don't you see, the description which you have there has a singular resemblance to an honest man?"	Don't you see, the description which you have there has a singular resemblance to an honest man?"	false	316.43	323.01	17
492_131887_000013_000000	"Consul," remarked the detective, dogmatically, "great robbers always resemble honest folks.	"Consul," remarked the detective, dogmatically, "great robbers always resemble honest folks.	false	323.01	332.29	19.033094
492_131887_000013_000001	Fellows who have rascally faces have only one course to take, and that is to remain honest; otherwise they would be arrested off-hand.	Fellows who have rascally faces have only one course to take, and that is to remain honest; otherwise they would be arrested off hand.	true	332.42	342.7	19.851507
492_131887_000013_000002	The artistic thing is, to unmask honest countenances; it's no light task, I admit, but a real art."	The artistic thing is, to unmask honest countenances; it's no light task, I admit, but a real art."	false	342.98	353.67	20.073288
492_131887_000014_000000	Mr. Fix evidently was not wanting in a tinge of self-conceit.	mr Fix evidently was not wanting in a tinge of self conceit.	false	353.67	360.64	19.379726
492_131887_000015_000000	Little by little the scene on the quay became more animated; sailors of various nations, merchants, ship-brokers, porters, fellahs, bustled to and fro as if the steamer were immediately expected.	Little by little the scene on the quay became more animated; sailors of various nations, merchants, ship brokers, porters, fellahs, bustled to and fro as if the steamer were immediately expected.	false	360.77	377.29	19
492_131887_000015_000001	The weather was clear, and slightly chilly.	The weather was clear, and slightly chilly.	true	377.51	380.2	16
492_131887_000015_000002	The minarets of the town loomed above the houses in the pale rays of the sun.	The minarets of the town loomed above the houses in the pale rays of the sun	false	380.21	385.63	15
492_131887_000015_000003	A jetty pier, some two thousand yards along, extended into the roadstead.	A jetty pier, some two thousand yards along, extended into the roadstead.	true	385.91	391	17
492_131887_000015_000004	A number of fishing-smacks and coasting boats, some retaining the fantastic fashion of ancient galleys, were discernible on the Red Sea.	A number of fishing smacks and coasting boats, some retaining the fantastic fashion of ancient galleys, were discernible on the Red Sea.	false	391.31	406.03	19.20103
492_131887_000016_000000	As he passed among the busy crowd, Fix, according to habit, scrutinised the passers-by with a keen, rapid glance.	As he passed among the busy crowd, Fix, according to habit, scrutinised the passers by with a keen, rapid glance.	true	406.37	414.31	19.097788
492_131887_000017_000000	It was now half-past ten.	It was now half past ten.	true	414.56	416.08	19.781424
492_131887_000018_000000	"The steamer doesn't come!" he exclaimed, as the port clock struck.	"The steamer doesn't come!" he exclaimed, as the port clock struck.	false	416.21	420.79	19.539694
492_131887_000019_000000	"She can't be far off now," returned his companion.	"She can't be far off now," returned his companion.	false	421.16	424.99	19.648537
492_131887_000020_000000	"How long will she stop at Suez?"	"How long will she stop at Suez?"	false	425.78	427.71	18
492_131887_000021_000000	"Four hours; long enough to get in her coal.	"Four hours; long enough to get in her coal.	false	427.71	431.44	18.394972
492_131887_000021_000001	It is thirteen hundred and ten miles from Suez to Aden, at the other end of the Red Sea, and she has to take in a fresh coal supply."	It is thirteen hundred and ten miles from Suez to Aden, at the other end of the Red Sea, and she has to take in a fresh coal supply."	false	431.63	442.51	20.072424
492_131887_000022_000000	"And does she go from Suez directly to Bombay?"	"And does she go from Suez directly to Bombay?"	true	443.63	446.5	18
492_131887_000023_000000	"Without putting in anywhere."	"Without putting in anywhere."	true	447.86	449.5	17
492_131887_000024_000000	"Good!" said Fix.	"Good!" said Fix.	true	450.71	452.34	17.587471
492_131887_000024_000001	"If the robber is on board he will no doubt get off at Suez, so as to reach the Dutch or French colonies in Asia by some other route.	"If the robber is on board he will no doubt get off at Suez, so as to reach the Dutch or French colonies in Asia by some other route.	false	452.34	462.7	19.419033
492_131887_000024_000002	He ought to know that he would not be safe an hour in India, which is English soil."	He ought to know that he would not be safe an hour in India, which is English soil."	true	462.74	469.33	19.69083
492_131887_000025_000000	"Unless," objected the consul, "he is exceptionally shrewd.	"Unless," objected the consul, "he is exceptionally shrewd.	true	469.64	473.985	18
492_131887_000025_000001	An English criminal, you know, is always better concealed in London than anywhere else."	An English criminal, you know, is always better concealed in London than anywhere else."	true	473.985	480.07	16
492_131887_000026_000000	This observation furnished the detective food for thought, and meanwhile the consul went away to his office.	This observation furnished the detective food for thought, and meanwhile the consul went away to his office.	false	481.04	489.25	19
492_131887_000026_000001	Fix, left alone, was more impatient than ever, having a presentiment that the robber was on board the Mongolia.	Fix, left alone, was more impatient than ever, having a presentiment that the robber was on board the Mongolia.	true	489.26	499.03	19
492_131887_000026_000002	If he had indeed left London intending to reach the New World, he would naturally take the route via India, which was less watched and more difficult to watch than that of the Atlantic. But Fix's reflections were soon interrupted by a succession of sharp whistles, which announced the arrival of the Mongolia.	If he had indeed left London intending to reach the New World, he would naturally take the route via India, which was less watched and more difficult to watch than that of the Atlantic. But Fix's reflections were soon interrupted by a succession of sharp whistles, which announced the arrival of the Mongolia.	false	499.04	524.29	18
492_131887_000026_000003	The porters and fellahs rushed down the quay, and a dozen boats pushed off from the shore to go and meet the steamer.	The porters and fellahs rushed down the quay, and a dozen boats pushed off from the shore to go and meet the steamer.	true	524.96	534.49	18
492_131887_000026_000004	Soon her gigantic hull appeared passing along between the banks, and eleven o'clock struck as she anchored in the road.	Soon her gigantic hull appeared passing along between the banks, and eleven o'clock struck as she anchored in the road.	true	534.62	543.97	17.980415
492_131887_000026_000005	She brought an unusual number of passengers, some of whom remained on deck to scan the picturesque panorama of the town, while the greater part disembarked in the boats, and landed on the quay.	She brought an unusual number of passengers, some of whom remained on deck to scan the picturesque panorama of the town, while the greater part disembarked in the boats, and landed on the quay.	false	544.01	559	18.638443
492_131887_000027_000000	Fix took up a position, and carefully examined each face and figure which made its appearance.	Fix took up a position, and carefully examined each face and figure which made its appearance.	true	559.82	567.4	20.138237
492_131887_000027_000001	Presently one of the passengers, after vigorously pushing his way through the importunate crowd of porters, came up to him and politely asked if he could point out the English consulate, at the same time showing a passport which he wished to have visaed.	Presently one of the passengers, after vigorously pushing his way through the importunate crowd of porters, came up to him and politely asked if he could point out the English consulate, at the same time showing a passport which he wished to have visaed.	false	567.56	590.86	19.591547
492_131887_000027_000002	Fix instinctively took the passport, and with a rapid glance read the description of its bearer.	Fix instinctively took the passport, and with a rapid glance read the description of its bearer.	false	591.05	598.44	19.941452
492_131887_000027_000003	An involuntary motion of surprise nearly escaped him, for the description in the passport was identical with that of the bank robber which he had received from Scotland Yard.	An involuntary motion of surprise nearly escaped him, for the description in the passport was identical with that of the bank robber which he had received from Scotland Yard.	false	598.44	612.58	20.709454
492_131887_000028_000000	"Is this your passport?" asked he.	"Is this your passport?" asked he.	true	613.07	615.01	18.932247
492_131887_000029_000000	"No, it's my master's."	"No, it's my master's."	true	615.32	616.99	21.731524
492_131887_000030_000000	"And your master is--"	"And your master is-"	true	617.84	619.45	18.450615
492_131887_000031_000000	"He stayed on board."	"He stayed on board."	true	619.61	621.01	19.187695
