6965_277899_000001_000000	THE BAG	THE BAG
6965_277899_000002_000000	"The Major is coming in to tea," said Mrs. Hoopington to her niece. "He's just gone round to the stables with his horse.	"The Major is coming in to tea," said mrs Hoopington to her niece. "He's just gone round to the stables with his horse.
6965_277899_000002_000001	Be as bright and lively as you can; the poor man's got a fit of the glooms."	Be as bright and lively as you can; the poor man's got a fit of the glooms."
6965_277899_000003_000000	Major Pallaby was a victim of circumstances, over which he had no control, and of his temper, over which he had very little.	Major Pallaby was a victim of circumstances, over which he had no control, and of his temper, over which he had very little.
6965_277899_000003_000002	The Major could plead reasonable excuse for his fit of the glooms.	The Major could plead reasonable excuse for his fit of the glooms.
6965_277899_000004_000000	In ranging herself as a partisan on the side of Major Pallaby Mrs. Hoopington had been largely influenced by the fact that she had made up her mind to marry him at an early date.	In ranging herself as a partisan on the side of Major Pallaby mrs Hoopington had been largely influenced by the fact that she had made up her mind to marry him at an early date.
6965_277899_000004_000001	Against his notorious bad temper she set his three thousand a year, and his prospective succession to a baronetcy gave a casting vote in his favour.	Against his notorious bad temper she set his three thousand a year, and his prospective succession to a baronetcy gave a casting vote in his favour.
6965_277899_000004_000002	The Major's plans on the subject of matrimony were not at present in such an advanced stage as Mrs. Hoopington's, but he was beginning to find his way over to Hoopington Hall with a frequency that was already being commented on.	The Major's plans on the subject of matrimony were not at present in such an advanced stage as mrs Hoopington's, but he was beginning to find his way over to Hoopington Hall with a frequency that was already being commented on.
6965_277899_000005_000001	"Why you didn't bring one or two hunting men down with you, instead of that stupid Russian boy, I can't think."	"Why you didn't bring one or two hunting men down with you, instead of that stupid Russian boy, I can't think."
6965_277899_000006_000000	"Vladimir isn't stupid," protested her niece; "he's one of the most amusing boys I ever met.	"Vladimir isn't stupid," protested her niece; "he's one of the most amusing boys I ever met.
6965_277899_000006_000001	Just compare him for a moment with some of your heavy hunting men--"	Just compare him for a moment with some of your heavy hunting men-"
6965_277899_000007_000000	"Anyhow, my dear Norah, he can't ride."	"Anyhow, my dear Norah, he can't ride."
6965_277899_000008_000000	"Russians never can; but he shoots."	"Russians never can; but he shoots."
6965_277899_000009_000000	"Yes; and what does he shoot?	"Yes; and what does he shoot?
6965_277899_000009_000001	Yesterday he brought home a woodpecker in his game-bag."	Yesterday he brought home a woodpecker in his game bag."
6965_277899_000011_000000	"That's no excuse for including a woodpecker in his game-bag."	"That's no excuse for including a woodpecker in his game bag."
6965_277899_000012_000001	A Grand Duke pots a vulture just as seriously as we should stalk a bustard.	A Grand Duke pots a vulture just as seriously as we should stalk a bustard.
6965_277899_000012_000002	Anyhow, I've explained to Vladimir that certain birds are beneath his dignity as a sportsman.	Anyhow, I've explained to Vladimir that certain birds are beneath his dignity as a sportsman.
6965_277899_000013_000000	Mrs. Hoopington sniffed.	mrs Hoopington sniffed.
6965_277899_000013_000001	Most people with whom Vladimir came in contact found his high spirits infectious, but his present hostess was guaranteed immune against infection of that sort.	Most people with whom Vladimir came in contact found his high spirits infectious, but his present hostess was guaranteed immune against infection of that sort.
6965_277899_000014_000001	"I shall go and get ready for tea.	"I shall go and get ready for tea.
6965_277899_000014_000002	We're going to have it here in the hall.	We're going to have it here in the hall.
6965_277899_000014_000003	Entertain the Major if he comes in before I'm down, and, above all, be bright."	Entertain the Major if he comes in before I'm down, and, above all, be bright."
6965_277899_000015_000001	That young gentleman, however, was supremely unconscious of any shortcomings, and burst into the hall, tired, and less sprucely groomed than usual, but distinctly radiant.	That young gentleman, however, was supremely unconscious of any shortcomings, and burst into the hall, tired, and less sprucely groomed than usual, but distinctly radiant.
6965_277899_000015_000002	His game-bag looked comfortably full.	His game bag looked comfortably full.
6965_277899_000016_000000	"Guess what I have shot," he demanded.	"Guess what I have shot," he demanded.
6965_277899_000017_000000	"Pheasants, woodpigeons, rabbits," hazarded Norah.	"Pheasants, woodpigeons, rabbits," hazarded Norah.
6965_277899_000018_000000	"No; a large beast; I don't know what you call it in English.	"No; a large beast; I don't know what you call it in English.
6965_277899_000018_000001	Brown, with a darkish tail." Norah changed colour.	Brown, with a darkish tail." Norah changed colour.
6965_277899_000019_000000	"Does it live in a tree and eat nuts?" she asked, hoping that the use of the adjective "large" might be an exaggeration.	"Does it live in a tree and eat nuts?" she asked, hoping that the use of the adjective "large" might be an exaggeration.
6965_277899_000024_000000	Norah sat down suddenly, and hid her face in her hands.	Norah sat down suddenly, and hid her face in her hands.
6965_277899_000025_000000	"Merciful Heaven!" she wailed; "he's shot a fox!"	"Merciful Heaven!" she wailed; "he's shot a fox!"
6965_277899_000026_000001	In a torrent of agitated words she tried to explain the horror of the situation.	In a torrent of agitated words she tried to explain the horror of the situation.
6965_277899_000026_000002	The boy understood nothing, but was thoroughly alarmed.	The boy understood nothing, but was thoroughly alarmed.
6965_277899_000027_000000	"Hide it, hide it!" said Norah frantically, pointing to the still unopened bag.	"Hide it, hide it!" said Norah frantically, pointing to the still unopened bag.
6965_277899_000027_000001	"My aunt and the Major will be here in a moment.	"My aunt and the Major will be here in a moment.
6965_277899_000027_000002	Throw it on the top of that chest; they won't see it there."	Throw it on the top of that chest; they won't see it there."
6965_277899_000028_000000	Vladimir swung the bag with fair aim; but the strap caught in its flight on the outstanding point of an antler fixed in the wall, and the bag, with its terrible burden, remained suspended just above the alcove where tea would presently be laid.	Vladimir swung the bag with fair aim; but the strap caught in its flight on the outstanding point of an antler fixed in the wall, and the bag, with its terrible burden, remained suspended just above the alcove where tea would presently be laid.
6965_277899_000028_000001	At that moment Mrs. Hoopington and the Major entered the hall.	At that moment mrs Hoopington and the Major entered the hall.
6965_277899_000029_000000	"The Major is going to draw our covers to-morrow," announced the lady, with a certain heavy satisfaction.	"The Major is going to draw our covers to morrow," announced the lady, with a certain heavy satisfaction.
6965_277899_000030_000000	"I'm sure I hope so; I hope so," said the Major moodily.	"I'm sure I hope so; I hope so," said the Major moodily.
6965_277899_000030_000002	One hears so often that a fox has settled down as a tenant for life in certain covers, and then when you go to turn him out there isn't a trace of him.	One hears so often that a fox has settled down as a tenant for life in certain covers, and then when you go to turn him out there isn't a trace of him.
6965_277899_000030_000003	I'm certain a fox was shot or trapped in Lady Widden's woods the very day before we drew them."	I'm certain a fox was shot or trapped in Lady Widden's woods the very day before we drew them."
6965_277899_000031_000000	"Major, if any one tried that game on in my woods they'd get short shrift," said Mrs. Hoopington.	"Major, if any one tried that game on in my woods they'd get short shrift," said mrs Hoopington.
6965_277899_000032_000001	On one side of her loomed the morose countenance of the Major, on the other she was conscious of the scared, miserable eyes of Vladimir.	On one side of her loomed the morose countenance of the Major, on the other she was conscious of the scared, miserable eyes of Vladimir.
6965_277899_000032_000003	She dared not raise her eyes above the level of the tea-table, and she almost expected to see a spot of accusing vulpine blood drip down and stain the whiteness of the cloth.	She dared not raise her eyes above the level of the tea table, and she almost expected to see a spot of accusing vulpine blood drip down and stain the whiteness of the cloth.
6965_277899_000032_000004	Her aunt's manner signalled to her the repeated message to "be bright"; for the present she was fully occupied in keeping her teeth from chattering.	Her aunt's manner signalled to her the repeated message to "be bright"; for the present she was fully occupied in keeping her teeth from chattering.
6965_277899_000033_000000	"What did you shoot to-day?" asked Mrs. Hoopington suddenly of the unusually silent Vladimir.	"What did you shoot to day?" asked mrs Hoopington suddenly of the unusually silent Vladimir.
6965_277899_000034_000000	"Nothing--nothing worth speaking of," said the boy.	"Nothing-nothing worth speaking of," said the boy.
6965_277899_000035_000000	Norah's heart, which had stood still for a space, made up for lost time with a most disturbing bound.	Norah's heart, which had stood still for a space, made up for lost time with a most disturbing bound.
6965_277899_000036_000000	"I wish you'd find something that was worth speaking about," said the hostess; "every one seems to have lost their tongues."	"I wish you'd find something that was worth speaking about," said the hostess; "every one seems to have lost their tongues."
6965_277899_000038_000000	"Yesterday morning; a fine dog-fox, with a dark brush," confided Mrs. Hoopington.	"Yesterday morning; a fine dog fox, with a dark brush," confided mrs Hoopington.
