7933_113272_000002_000000	THE WANDERERS	THE WANDERERS
7933_113272_000003_000002	That night they slept at a cottage where the people were kind to them, and all the next day they walked on and on.	That night they slept at a cottage where the people were kind to them, and all the next day they walked on and on.
7933_113272_000004_000000	At sunset they stopped to rest in a churchyard, where two men were sitting patching a Punch-and-Judy show booth, while the figures of Punch, the doctor, the executioner and the devil were lying on the grass waiting to be mended.	At sunset they stopped to rest in a churchyard, where two men were sitting patching a Punch and Judy show booth, while the figures of Punch, the doctor, the executioner and the devil were lying on the grass waiting to be mended.
7933_113272_000005_000000	The men were mending the dolls very badly, so little Nell took a needle and sewed them all neatly.	The men were mending the dolls very badly, so little Nell took a needle and sewed them all neatly.
7933_113272_000009_000000	It was the second day of the races before a chance came, and then, while the showmen's backs were turned, they slipped away in the crowd to the open fields again.	It was the second day of the races before a chance came, and then, while the showmen's backs were turned, they slipped away in the crowd to the open fields again.
7933_113272_000010_000000	These alarms and the exposure had begun to affect the old man.	These alarms and the exposure had begun to affect the old man.
7933_113272_000010_000001	He seemed to understand that he was not wholly in his right mind.	He seemed to understand that he was not wholly in his right mind.
7933_113272_000011_000001	The pale old schoolmaster sat smoking in the garden.	The pale old schoolmaster sat smoking in the garden.
7933_113272_000011_000003	He made them sleep in the school-room that night, and he begged them to stay longer next day, but little Nell was anxious to get as far as possible from London and from the dwarf, who she was all the time in fear might find them.	He made them sleep in the school room that night, and he begged them to stay longer next day, but little Nell was anxious to get as far as possible from London and from the dwarf, who she was all the time in fear might find them.
7933_113272_000011_000004	So they bade the schoolmaster good-by and walked on.	So they bade the schoolmaster good by and walked on.
7933_113272_000012_000001	They had almost reached another village when they came to a tiny painted house on wheels with horses to draw it.	They had almost reached another village when they came to a tiny painted house on wheels with horses to draw it.
7933_113272_000014_000002	As the wheels rattled on the old man fell asleep, and the stout lady made little Nell sit by her and talk.	As the wheels rattled on the old man fell asleep, and the stout lady made little Nell sit by her and talk.
7933_113272_000017_000000	But it was easy to see that they were not ordinary beggars, and she was kind-hearted and wanted to help them.	But it was easy to see that they were not ordinary beggars, and she was kind hearted and wanted to help them.
7933_113272_000017_000001	So, after much thought, she asked little Nell if they would take a situation with her.	So, after much thought, she asked little Nell if they would take a situation with her.
7933_113272_000017_000002	She explained that the child's duty would be to point out the wax figures to the visitors and tell their names, while her grandfather could help dust them.	She explained that the child's duty would be to point out the wax figures to the visitors and tell their names, while her grandfather could help dust them.
