4899_32639_000001_000000	Chapter 5	Chapter five
4899_32639_000003_000000	APRIL 6.	april sixth.
4899_32639_000004_000000	I have taken it at last.	I have taken it at last.
4899_32639_000004_000002	My class is perfectly delightful.	My class is perfectly delightful.
4899_32639_000004_000003	There are twelve dear little things in it, of all ages between eight and nine.	There are twelve dear little things in it, of all ages between eight and nine.
4899_32639_000004_000005	When I get them all about me, and their sweet innocent faces look up into mine, I am so happy that I can hardly help stopping every now and then to kiss them.	When I get them all about me, and their sweet innocent faces look up into mine, I am so happy that I can hardly help stopping every now and then to kiss them.
4899_32639_000004_000006	They ask the very strangest questions I mean to spend a great deal of time in preparing the lesson, and in hunting up stories to illustrate it.	They ask the very strangest questions I mean to spend a great deal of time in preparing the lesson, and in hunting up stories to illustrate it.
4899_32639_000005_000000	APRIL 13.-Sunday has come again, and with it my darling little class! Dr. Cabot has preached delightfully all day, and I feel that I begin to understand his preaching better, and that it must do me good.	april thirteenth.-Sunday has come again, and with it my darling little class! dr Cabot has preached delightfully all day, and I feel that I begin to understand his preaching better, and that it must do me good.
4899_32639_000006_000000	APRIL 20.-Now that I have these twelve little ones to instruct, I am more than ever in earnest about setting them a good example through the week.	april twentieth.-Now that I have these twelve little ones to instruct, I am more than ever in earnest about setting them a good example through the week.
4899_32639_000006_000001	It is true they do not, most of them, know how I spend my time, nor how I act.	It is true they do not, most of them, know how I spend my time, nor how I act.
4899_32639_000006_000002	But I know, and whenever I am conscious of not practicing what I preach, I am bitterly ashamed and grieved.	But I know, and whenever I am conscious of not practicing what I preach, I am bitterly ashamed and grieved.
4899_32639_000006_000003	How much work, badly done, I am now having to undo.	How much work, badly done, I am now having to undo.
4899_32639_000006_000004	If I had begun in earnest to serve God when I was as young as these children are, how many wrong habits I should have avoided; habits that entangle me now, as in so many nets.	If I had begun in earnest to serve God when I was as young as these children are, how many wrong habits I should have avoided; habits that entangle me now, as in so many nets.
4899_32639_000006_000006	Poor Johnny Ross is not so docile as they are, and tries my patience to the last degree.	Poor Johnny Ross is not so docile as they are, and tries my patience to the last degree.
4899_32639_000007_000000	APRIL 27.-This morning I had my little flock about me, and talked to them out of the very bottom of my heart about Jesus.	april twenty seventh.-This morning I had my little flock about me, and talked to them out of the very bottom of my heart about Jesus.
4899_32639_000007_000001	They left their seats and got close to me in a circle, leaning on my lap and drinking in every word.	They left their seats and got close to me in a circle, leaning on my lap and drinking in every word.
4899_32639_000007_000002	All of a sudden I was aware, as by a magnetic influence, that a great lumbering man in the next seat was looking at me out of two of the blackest eyes I ever saw, and evidently listening to what I was saying.	All of a sudden I was aware, as by a magnetic influence, that a great lumbering man in the next seat was looking at me out of two of the blackest eyes I ever saw, and evidently listening to what I was saying.
4899_32639_000007_000003	I was disconcerted at first, then angry.	I was disconcerted at first, then angry.
4899_32639_000007_000004	What impertinence.	What impertinence.
4899_32639_000007_000005	What rudeness!	What rudeness!
4899_32639_000007_000006	I am sure he must have seen my displeasure in my face, for he got up what I suppose he meant for a blush, that is he turned several shades darker than he was before, giving one the idea that he is full of black rather than red blood.	I am sure he must have seen my displeasure in my face, for he got up what I suppose he meant for a blush, that is he turned several shades darker than he was before, giving one the idea that he is full of black rather than red blood.
4899_32639_000007_000007	I should not have remembered it, however-by it-I mean his impertinence--if he had not shortly after made a really excellent address to the children.	I should not have remembered it, however by it I mean his impertinence-if he had not shortly after made a really excellent address to the children.
4899_32639_000007_000008	Perhaps it was a little above their comprehension, but it showed a good deal of thought and earnestness. I meant to ask who he was, but forgot it.	Perhaps it was a little above their comprehension, but it showed a good deal of thought and earnestness. I meant to ask who he was, but forgot it.
4899_32639_000008_000000	This has been a delightful Sunday.	This has been a delightful Sunday.
4899_32639_000008_000002	But I am satisfied that there is something in religion I do not yet comprehend.	But I am satisfied that there is something in religion I do not yet comprehend.
4899_32639_000008_000003	I do wish I positively knew that God had forgiven and accepted me.	I do wish I positively knew that God had forgiven and accepted me.
4899_32639_000009_000000	MAY 6.-Last evening Clara Ray had a little party and I was there.	may sixth.-Last evening Clara Ray had a little party and I was there.
4899_32639_000010_000000	I sang several songs, and so did Clara, but they all said my voice was finer and in better training than hers.	I sang several songs, and so did Clara, but they all said my voice was finer and in better training than hers.
4899_32639_000010_000001	It is delightful to be with cultivated, agreeable people.	It is delightful to be with cultivated, agreeable people.
4899_32639_000010_000002	I could have stayed all night, but mother sent for me before any one else had thought of going.	I could have stayed all night, but mother sent for me before any one else had thought of going.
4899_32639_000011_000000	MAY 7.-I have been on a charming excursion to-day with Clara Ray and all her set.	may seventh.-I have been on a charming excursion to day with Clara Ray and all her set.
4899_32639_000011_000001	I was rather tired, but had an invitation to a concert this evening which I could not resist.	I was rather tired, but had an invitation to a concert this evening which I could not resist.
4899_32639_000012_000002	My prayers are dull and short, and full of wandering thoughts.	My prayers are dull and short, and full of wandering thoughts.
4899_32639_000012_000003	I am brimful of vivacity and good humor in company, and as soon as I get home am stupid and peevish.	I am brimful of vivacity and good humor in company, and as soon as I get home am stupid and peevish.
4899_32639_000013_000000	JULY 24.-Clara Ray says the girls think me reckless and imprudent in speech.	july twenty fourth.-Clara Ray says the girls think me reckless and imprudent in speech.
4899_32639_000013_000001	I've a good mind not to go with her set any more.	I've a good mind not to go with her set any more.
4899_32639_000013_000002	I am afraid I have been a good deal dazzled by the attentions I have received of late; and now comes this blow at my vanity.	I am afraid I have been a good deal dazzled by the attentions I have received of late; and now comes this blow at my vanity.
4899_32639_000014_000000	On the whole, I feel greatly out of sorts this evening.	On the whole, I feel greatly out of sorts this evening.
4899_32639_000015_000001	On Sundays I am pretty good, and always seem to start afresh; but on week-days I am drawn along with those about me.	On Sundays I am pretty good, and always seem to start afresh; but on week days I am drawn along with those about me.
4899_32639_000015_000003	But these things distract me; they absorb me; they make religious duties irksome.	But these things distract me; they absorb me; they make religious duties irksome.
4899_32639_000015_000004	I almost wish I could shut myself up in a cell, and so get out of the reach of temptation.	I almost wish I could shut myself up in a cell, and so get out of the reach of temptation.
4899_32639_000016_000000	The truth is, the journey heavenward is all up hill I have to force myself to keep on.	The truth is, the journey heavenward is all up hill I have to force myself to keep on.
