2562_133442_000000_000000	'I had at that time very vague ideas as to the course I should pursue.	'I had at that time very vague ideas as to the course I should pursue.	false	0	6.78	13.60416
2562_133442_000000_000001	My first was to secure some safe place of refuge, and to make myself such arms of metal or stone as I could contrive.	My first was to secure some safe place of refuge, and to make myself such arms of metal or stone as I could contrive.	false	6.78	9.45	20.797823
2562_133442_000000_000002	That necessity was immediate.	That necessity was immediate.	false	9.45	9.885	2
2562_133442_000000_000003	In the next place, I hoped to procure some means of fire, so that I should have the weapon of a torch at hand, for nothing, I knew, would be more efficient against these Morlocks. Then I wanted to arrange some contrivance to break open the doors of bronze under the White Sphinx.	In the next place, I hoped to procure some means of fire, so that I should have the weapon of a torch at hand, for nothing, I knew, would be more efficient against these Morlocks. Then I wanted to arrange some contrivance to break open the doors of bronze under the White Sphinx.	false	9.885	12.12	20.3989
2562_133442_000000_000004	I had in mind a battering ram.	I had in mind a battering ram.	false	12.12	12.81	10
2562_133442_000000_000005	I had a persuasion that if I could enter those doors and carry a blaze of light before me I should discover the Time Machine and escape.	I had a persuasion that if I could enter those doors and carry a blaze of light before me I should discover the Time Machine and escape.	false	12.81	22.23	22.08607
2562_133442_000000_000006	I could not imagine the Morlocks were strong enough to move it far away.	I could not imagine the Morlocks were strong enough to move it far away.	false	22.23	23.4	27.932219
2562_133442_000000_000007	Weena I had resolved to bring with me to our own time.	Weena I had resolved to bring with me to our own time.	false	23.4	24.48	17.414919
2562_133442_000000_000008	And turning such schemes over in my mind I pursued our way towards the building which my fancy had chosen as our dwelling.	And turning such schemes over in my mind I pursued our way towards the building which my fancy had chosen as our dwelling.	false	24.48	26.55	28.214985
2562_133442_000001_000000	VIII	eight	true	26.55	30.01	18.287006
2562_133442_000002_000000	'I found the Palace of Green Porcelain, when we approached it about noon, deserted and falling into ruin.	'I found the Palace of Green Porcelain, when we approached it about noon, deserted and falling into ruin.	true	32.12	38.98	21.460419
2562_133442_000002_000001	Only ragged vestiges of glass remained in its windows, and great sheets of the green facing had fallen away from the corroded metallic framework.	Only ragged vestiges of glass remained in its windows, and great sheets of the green facing had fallen away from the corroded metallic framework.	true	39.68	48.55	19
