8066_290047_000002_000000	"LITTLE MOTHER"	"LITTLE MOTHER"
8066_290047_000003_000000	She was a clear-eyed, fresh-cheeked little maiden, living on the banks of the great Mississippi, the oldest of four children, and mother's "little woman" always.	She was a clear eyed, fresh cheeked little maiden, living on the banks of the great Mississippi, the oldest of four children, and mother's "little woman" always.
8066_290047_000003_000001	They called her so because of her quiet, matronly care of the younger Mayfields--that was the father's name.	They called her so because of her quiet, matronly care of the younger Mayfields-that was the father's name.
8066_290047_000003_000002	Her own name was the beautiful one of Elizabeth, but they shortened it to Bess.	Her own name was the beautiful one of Elizabeth, but they shortened it to Bess.
8066_290047_000004_000001	"Be mother's little woman, dear," said Mrs. Mayfield as she kissed the rosy face.	"Be mother's little woman, dear," said mrs Mayfield as she kissed the rosy face.
8066_290047_000004_000002	Her husband added: "I leave the children in your care, Bess; be a little mother to them."	Her husband added: "I leave the children in your care, Bess; be a little mother to them."
8066_290047_000005_000000	Bess waved her old sun-bonnet vigorously, and held up the baby Rose, that she might watch them to the last.	Bess waved her old sun bonnet vigorously, and held up the baby Rose, that she might watch them to the last.
8066_290047_000005_000001	Old Daddy Jim and Mammy had been detailed by Mr. Mayfield to keep an unsuspected watch on the little nestlings, and were to sleep at the house.	Old Daddy Jim and Mammy had been detailed by mr Mayfield to keep an unsuspected watch on the little nestlings, and were to sleep at the house.
8066_290047_000005_000003	She put the little girls to bed and persuaded Rob to go; then seated herself by the table with her mother's work-basket, in quaint imitation of Mrs. Mayfield's industry in the evening time.	She put the little girls to bed and persuaded Rob to go; then seated herself by the table with her mother's work basket, in quaint imitation of mrs Mayfield's industry in the evening time.
8066_290047_000005_000004	But what was this?	But what was this?
8066_290047_000005_000005	Her feet touched something cold!	Her feet touched something cold!
8066_290047_000005_000006	She bent down and felt around with her hand.	She bent down and felt around with her hand.
8066_290047_000005_000007	A pool of water was spreading over the floor.	A pool of water was spreading over the floor.
8066_290047_000005_000009	What should she do?	What should she do?
8066_290047_000005_000011	"Oh, if I had a boat!" she exclaimed.	"Oh, if I had a boat!" she exclaimed.
8066_290047_000005_000012	"But there isn't anything of the sort on the place." She ran wildly out to look for Mammy; and stumbled over something sitting near the edge of the porch. A sudden inspiration took her.	"But there isn't anything of the sort on the place." She ran wildly out to look for Mammy; and stumbled over something sitting near the edge of the porch. A sudden inspiration took her.
8066_290047_000005_000013	Here was her boat! a very large, old-fashioned, oblong tub.	Here was her boat! a very large, old-fashioned, oblong tub.
8066_290047_000005_000014	The water was now several inches deep on the porch and she contrived to half-float, half-row the tub into the room.	The water was now several inches deep on the porch and she contrived to half float, half row the tub into the room.
8066_290047_000006_000000	Without frightening the children she got them dressed in the warmest clothes they had.	Without frightening the children she got them dressed in the warmest clothes they had.
8066_290047_000006_000001	She lined the oblong tub with a blanket, and made ready bread and cold meat left from supper.	She lined the oblong tub with a blanket, and made ready bread and cold meat left from supper.
8066_290047_000006_000002	With Rob's assistance she dragged the tub upstairs.	With Rob's assistance she dragged the tub upstairs.
8066_290047_000006_000003	There was a single large window in the room, and they set the tub directly by it, so that when the water rose the tub would float out.	There was a single large window in the room, and they set the tub directly by it, so that when the water rose the tub would float out.
8066_290047_000006_000004	There was no way for the children to reach the roof, which was a very steep, inclined one.	There was no way for the children to reach the roof, which was a very steep, inclined one.
8066_290047_000006_000005	It did not seem long before the water had very nearly risen to the top of the stairs leading from below.	It did not seem long before the water had very nearly risen to the top of the stairs leading from below.
8066_290047_000007_000000	Bess flung the window open, and made Rob get into their novel boat; then she lifted in Kate, and finally baby Rose, who began to cry, was given into Rob's arms, and now the little mother, taking the basket of food, made ready to enter, too; but, lo! there was no room for her with safety to the rest.	Bess flung the window open, and made Rob get into their novel boat; then she lifted in Kate, and finally baby Rose, who began to cry, was given into Rob's arms, and now the little mother, taking the basket of food, made ready to enter, too; but, lo! there was no room for her with safety to the rest.
8066_290047_000007_000001	Bess paused a moment, drew a long breath, and kissed the children quietly.	Bess paused a moment, drew a long breath, and kissed the children quietly.
8066_290047_000007_000002	She explained to Rob that he must guard the basket, and that they must sit still.	She explained to Rob that he must guard the basket, and that they must sit still.
8066_290047_000007_000003	"Goodbye, dears.	"Goodbye, dears.
8066_290047_000007_000004	Say a prayer for sister, Rob.	Say a prayer for sister, Rob.
8066_290047_000007_000005	If you ever see father and mother, tell them I took care of you." Then the water seized the insecure vessel, and out into the dark night it floated.	If you ever see father and mother, tell them I took care of you." Then the water seized the insecure vessel, and out into the dark night it floated.
8066_290047_000009_000000	The next day Mr. Mayfield, who, with his neighbors, scoured the broad lake of eddying water that represented the Mississippi, discovered the tub lodged in the branches of a sycamore with the children weeping and chilled, but safe.	The next day mr Mayfield, who, with his neighbors, scoured the broad lake of eddying water that represented the Mississippi, discovered the tub lodged in the branches of a sycamore with the children weeping and chilled, but safe.
8066_290047_000010_000000	And Bess?	And Bess?
8066_290047_000010_000001	Ah, where was Bess, the "little mother," who in that brief moment resigned herself to death?	Ah, where was Bess, the "little mother," who in that brief moment resigned herself to death?
8066_290047_000010_000002	They found her later, floating on the water with her brave childish face turned to the sky; and as strong arms lifted her into the boat, the tears from every eye paid worthy tribute to the "little mother."	They found her later, floating on the water with her brave childish face turned to the sky; and as strong arms lifted her into the boat, the tears from every eye paid worthy tribute to the "little mother."
8066_290047_000012_000000	ROBBIE GOODMAN'S PRAYER	ROBBIE GOODMAN'S PRAYER
8066_290047_000013_000000	"What can be the matter with Walter," thought Mama Ellis as she sat sewing in her pleasant sitting-room.	"What can be the matter with Walter," thought Mama Ellis as she sat sewing in her pleasant sitting room.
8066_290047_000013_000001	"He came in so very quietly, closed the door gently and I think I even heard him go to the closet to hang up his books.	"He came in so very quietly, closed the door gently and I think I even heard him go to the closet to hang up his books.
8066_290047_000013_000002	Oh! dear.	Oh! dear.
8066_290047_000013_000003	I hope he isn't going to have another attack of 'Grippe,'" and Mrs. Ellis shivered as she glanced out at the snow-covered landscape.	I hope he isn't going to have another attack of 'Grippe,'" and mrs Ellis shivered as she glanced out at the snow covered landscape.
8066_290047_000013_000005	Little Walter was all that remained of four beautiful children, who, only a year ago, romped gaily through the large halls.	Little Walter was all that remained of four beautiful children, who, only a year ago, romped gaily through the large halls.
8066_290047_000013_000006	That dread disease, diphtheria, had stolen the older brother and laughing little sisters in one short week's time, so that now, as the sad anniversary came near to hand, Mrs. Ellis' heart ached for her lost birdlings and yearned more jealously than ever over her remaining little one.	That dread disease, diphtheria, had stolen the older brother and laughing little sisters in one short week's time, so that now, as the sad anniversary came near to hand, mrs Ellis' heart ached for her lost birdlings and yearned more jealously than ever over her remaining little one.
8066_290047_000013_000007	Today his usually merry face was very grave and he looked very thoughtful as he gave his mother her kiss and allowed himself to be drawn upon her lap.	Today his usually merry face was very grave and he looked very thoughtful as he gave his mother her kiss and allowed himself to be drawn upon her lap.
8066_290047_000014_000001	Is he sick?" she asked anxiously.	Is he sick?" she asked anxiously.
8066_290047_000015_000000	"No, Mother dear, I'm not sick, but I feel so sad at heart.	"No, Mother dear, I'm not sick, but I feel so sad at heart.
8066_290047_000015_000002	Of course I noticed it, for nearly everyone else was all bundled up; but I didn't say anything as I did not want to be impolite.	Of course I noticed it, for nearly everyone else was all bundled up; but I didn't say anything as I did not want to be impolite.
8066_290047_000015_000003	After awhile he said, 'My, I am so cold,' and I said: 'Where's your overcoat?' Then he told me it was too small and his papa can't buy him any this winter so he is afraid he will have to stop school.	After awhile he said, 'My, I am so cold,' and I said: 'Where's your overcoat?' Then he told me it was too small and his papa can't buy him any this winter so he is afraid he will have to stop school.
8066_290047_000015_000005	Even that one is thin and patched.	Even that one is thin and patched.
8066_290047_000016_000000	"Tonight, Mother," continued Walter, "he had an awful cold and coughed just like our Harry did last year," and the long pent up tears flowed from the child's eyes.	"Tonight, Mother," continued Walter, "he had an awful cold and coughed just like our Harry did last year," and the long pent up tears flowed from the child's eyes.
8066_290047_000016_000001	As mother and son dried their tears, the child looked up with perfect confidence as he said, "The Lord will answer Robbie's prayer, won't he.	As mother and son dried their tears, the child looked up with perfect confidence as he said, "The Lord will answer Robbie's prayer, won't he.
8066_290047_000016_000002	Mama?"	Mama?"
8066_290047_000018_000000	"Yes darling," said Mrs. Ellis; and sent the child off to the play room.	"Yes darling," said mrs Ellis; and sent the child off to the play room.
8066_290047_000019_000000	"By the way, my dear," remarked Mrs. Ellis as they sat chatting at the tea-table after Walter had retired, "what has become of that preacher Goodman who preached for us once on trial?"	"By the way, my dear," remarked mrs Ellis as they sat chatting at the tea table after Walter had retired, "what has become of that preacher Goodman who preached for us once on trial?"
8066_290047_000020_000002	He looked very needy.	He looked very needy.
8066_290047_000020_000003	The man had wonderful talents and might have a rich congregation and improve himself; but he is persistent in his ideas concerning this holiness movement, and of course a large church like ours wants something to attract and interest instead of such egotistical discourses.	The man had wonderful talents and might have a rich congregation and improve himself; but he is persistent in his ideas concerning this holiness movement, and of course a large church like ours wants something to attract and interest instead of such egotistical discourses.
8066_290047_000020_000004	I, for one, go to sleep under them." And Mr. Ellis drew himself up with a pompous air as he went into the library, whither his wife presently followed.	I, for one, go to sleep under them." And mr Ellis drew himself up with a pompous air as he went into the library, whither his wife presently followed.
8066_290047_000021_000000	He had picked up a newspaper and was apparently absorbed, but Mrs. Ellis had not had her say, so she continued "Walter was telling me about the little boy.	He had picked up a newspaper and was apparently absorbed, but mrs Ellis had not had her say, so she continued "Walter was telling me about the little boy.
8066_290047_000022_000000	"Oh, yes," interrupted her husband, "he met me in the hall and poured out the whole story.	"Oh, yes," interrupted her husband, "he met me in the hall and poured out the whole story.
8066_290047_000022_000001	The child's nerves were all wrought up, too.	The child's nerves were all wrought up, too.
8066_290047_000022_000003	He wants me to give up buying him the fur-trimmed overcoat and get a coat and shoes for Goodman's children, as they were praying so hard for them, but I have enough to do without clothing other people's children.	He wants me to give up buying him the fur trimmed overcoat and get a coat and shoes for Goodman's children, as they were praying so hard for them, but I have enough to do without clothing other people's children.
8066_290047_000023_000000	"But Paul," said Mrs. Ellis, "Surely you would not have Mr. Goodman sacrifice his convictions simply for money and praise, when you yourself, are convinced that his doctrines are sound?	"But Paul," said mrs Ellis, "Surely you would not have mr Goodman sacrifice his convictions simply for money and praise, when you yourself, are convinced that his doctrines are sound?
8066_290047_000023_000001	Besides he must be doing a good work down among the poor classes of the city as it appears the rich don't want him."	Besides he must be doing a good work down among the poor classes of the city as it appears the rich don't want him."
8066_290047_000025_000000	"They do give far beyond their means but the Lord calls on such as us to give.	"They do give far beyond their means but the Lord calls on such as us to give.
8066_290047_000025_000001	I know it has been an unusually hard year but the Lord has blessed us and He will hold us to an account.	I know it has been an unusually hard year but the Lord has blessed us and He will hold us to an account.
8066_290047_000025_000002	I feel very sad as the anniversary of our darlings' departure draws near and I dread to think of any little ones suffering while we could so easily help them."	I feel very sad as the anniversary of our darlings' departure draws near and I dread to think of any little ones suffering while we could so easily help them."
8066_290047_000026_000001	When the house is so quiet and I think of those white graves in the cemetery I confess I feel very bitter."	When the house is so quiet and I think of those white graves in the cemetery I confess I feel very bitter."
8066_290047_000027_000000	"Paul, my dear husband, don't feel that way.	"Paul, my dear husband, don't feel that way.
8066_290047_000027_000002	Remember also that we have one left, to live for, to train.	Remember also that we have one left, to live for, to train.
8066_290047_000027_000003	And, Paul, let us train him for the Master and in such a way that we may never have the feeling that it were better if he, too, had departed when he was pure and innocent.	And, Paul, let us train him for the Master and in such a way that we may never have the feeling that it were better if he, too, had departed when he was pure and innocent.
8066_290047_000027_000004	Let us encourage benevolence and gentleness and if he wishes to go without the fur-trimmed coat, why not do as he asks?" Mrs. Ellis kissed her husband and quietly left the room.	Let us encourage benevolence and gentleness and if he wishes to go without the fur trimmed coat, why not do as he asks?" mrs Ellis kissed her husband and quietly left the room.
8066_290047_000028_000000	Long and late, Paul Ellis sat there and many things, ghosts of the past, rose before him.	Long and late, Paul Ellis sat there and many things, ghosts of the past, rose before him.
8066_290047_000028_000001	As the midnight chimes rang out he knelt and prayed. "Oh, Lord, forgive me.	As the midnight chimes rang out he knelt and prayed. "Oh, Lord, forgive me.
8066_290047_000028_000003	I have been prejudiced.	I have been prejudiced.
8066_290047_000028_000004	It was my influence which turned the tide against Robert Goodman.	It was my influence which turned the tide against Robert Goodman.
