5400_3587_000000_000000	POLLY'S BIG BUNDLE	POLLY'S BIG BUNDLE	true	24.54	26.05	22.230537
5400_3587_000001_000000	The room was very quiet; but presently Phronsie strayed in, and seeing Polly studying, climbed up in a chair by the window to watch the birds hop over the veranda and pick up worms in the grass beside the carriage drive.	The room was very quiet; but presently Phronsie strayed in, and seeing Polly studying, climbed up in a chair by the window to watch the birds hop over the veranda and pick up worms in the grass beside the carriage drive.	true	26.87	38.77	23.762026
5400_3587_000001_000001	And then came Mrs. Pepper with the big mending basket, and ensconced herself opposite by the table; and nothing was to be heard but the "tick, tick" of the clock, and an occasional dropping of a spool of thread, or scissors, from the busy hands flying in and out among the stockings.	And then came mrs Pepper with the big mending basket, and ensconced herself opposite by the table; and nothing was to be heard but the "tick, tick" of the clock, and an occasional dropping of a spool of thread, or scissors, from the busy hands flying in and out among the stockings.	true	39.14	53.74	20.982815
5400_3587_000002_000000	All of a sudden there was a great rustling in Cherry's cage that swung in the big window on the other side of the room.	All of a sudden there was a great rustling in Cherry's cage that swung in the big window on the other side of the room.	true	54.23	59.77	11
5400_3587_000002_000001	And then he set up a loud and angry chirping, flying up and down, and opening his mouth as if he wanted to express his mind, but couldn't, and otherwise acting in a very strange and unaccountable manner.	And then he set up a loud and angry chirping, flying up and down, and opening his mouth as if he wanted to express his mind, but couldn't, and otherwise acting in a very strange and unaccountable manner.	true	60.02	70.42	23
5400_3587_000003_000000	"Dear me!" said Mrs. Pepper, "what's that?"	"Dear me!" said mrs Pepper, "what's that?"	true	70.73	73.48	24.612873
5400_3587_000004_000000	"It's Cherry," said Polly, lifting up her head from "Fasquelle," "and--oh, dear me!" and flinging down the pile of books in her lap on a chair, she rushed across the room and flew up to the cage and began to wildly gesticulate and explain and shower down on him every endearing name she could think of.	"It's Cherry," said Polly, lifting up her head from "Fasquelle," "and-oh, dear me!" and flinging down the pile of books in her lap on a chair, she rushed across the room and flew up to the cage and began to wildly gesticulate and explain and shower down on him every endearing name she could think of.	true	73.73	89.47	21.833614
5400_3587_000005_000000	"What is the matter?" asked her mother, turning around in her chair in perfect astonishment.	"What is the matter?" asked her mother, turning around in her chair in perfect astonishment.	true	89.99	94.39	22
5400_3587_000005_000001	"What upon earth, Polly!"	"What upon earth, Polly!"	true	94.67	96.58	29.349934
5400_3587_000006_000000	"How could I!" cried Polly, in accents of despair, not heeding her mother's question.	"How could I!" cried Polly, in accents of despair, not heeding her mother's question.	true	96.95	101.08	24
5400_3587_000006_000001	"Oh, mamsie, will he die, do you think?"	"Oh, mamsie, will he die, do you think?"	true	101.15	103.45	21.664186
5400_3587_000007_000000	"I guess not," said Mrs. Pepper, laying down her work and coming up to the cage, while Phronsie scrambled off from her chair and hurried to the scene.	"I guess not," said mrs Pepper, laying down her work and coming up to the cage, while Phronsie scrambled off from her chair and hurried to the scene.	true	103.46	110.85	22
5400_3587_000007_000001	"Why, he does act queer, don't he?	"Why, he does act queer, don't he?	true	110.85	112.93	27.748358
5400_3587_000007_000002	P'raps he's been eating too much?"	P'raps he's been eating too much?"	true	113	114.79	34.746544
5400_3587_000008_000000	"Eating!" said Polly, "oh mamsie, he hasn't had anything." And she pointed with shame and remorse to the seed-cup with only a few dried husks in the very bottom.	"Eating!" said Polly, "oh mamsie, he hasn't had anything." And she pointed with shame and remorse to the seed cup with only a few dried husks in the very bottom.	true	114.95	123.04	20
5400_3587_000009_000000	"Oh, Polly," began Mrs. Pepper; but seeing the look on her face, she changed her tone for one more cheerful.	"Oh, Polly," began mrs Pepper; but seeing the look on her face, she changed her tone for one more cheerful.	true	123.29	129.34	29.213118
5400_3587_000009_000001	"Well, hurry and get him some now; he'll be all right, poor little thing, in a minute.	"Well, hurry and get him some now; he'll be all right, poor little thing, in a minute.	false	129.56	133.96	27.746548
5400_3587_000009_000002	There, there," she said, nodding persuasively at the cage, "you pretty creature you!	There, there," she said, nodding persuasively at the cage, "you pretty creature you!	true	134.09	139.065	23.70874
5400_3587_000009_000003	so you sha'n't be starved."	so you sha'n't be starved."	true	139.065	140.77	26.641975
5400_3587_000010_000000	At the word "starved," Polly winced as though a pin had been pointed at her.	At the word "starved," Polly winced as though a pin had been pointed at her.	true	140.87	144.73	23.704391
5400_3587_000011_000000	"There isn't any, mamsie, in the house," she stammered; "he had the last yesterday."	"There isn't any, mamsie, in the house," she stammered; "he had the last yesterday."	true	144.95	149.47	20.788359
5400_3587_000012_000000	"And you forgot him to-day?" asked Mrs. Pepper, with a look in her black eyes Polly didn't like.	"And you forgot him to day?" asked mrs Pepper, with a look in her black eyes Polly didn't like.	true	149.66	154.39	24
5400_3587_000013_000000	"Yes'm," said poor Polly in a low voice.	"Yes'm," said poor Polly in a low voice.	false	154.58	157.44	21.176418
5400_3587_000014_000000	"Well, he must have something right away," said Mrs. Pepper, decidedly. "That's certain."	"Well, he must have something right away," said mrs Pepper, decidedly. "That's certain."	true	157.44	161.625	22
5400_3587_000015_000000	"I'll run right down to Fletcher's and get it," cried Polly.	"I'll run right down to Fletcher's and get it," cried Polly.	true	161.625	164.35	27
5400_3587_000016_000000	"Twon't take me but a minute, mamsie; Jasper's gone, and Thomas, too, so I've got to go," she added, as she saw her mother hesitate.	"Twon't take me but a minute, mamsie; Jasper's gone, and Thomas, too, so I've got to go," she added, as she saw her mother hesitate.	true	164.36	171.13	23
5400_3587_000017_000000	"If you could wait till Ben gets home," said Mrs. Pepper, slowly.	"If you could wait till Ben gets home," said mrs Pepper, slowly.	false	171.65	174.55	25
5400_3587_000017_000001	"I'm most afraid it will rain, Polly."	"I'm most afraid it will rain, Polly."	true	174.59	176.64	22.560291
5400_3587_000018_000000	"Oh, no, mamsie," cried Polly, feeling as if she could fly to the ends of the earth to atone, and longing beside for the brisk walk down town. Going up to the window she pointed triumphantly to the little bit of blue sky still visible.	"Oh, no, mamsie," cried Polly, feeling as if she could fly to the ends of the earth to atone, and longing beside for the brisk walk down town. Going up to the window she pointed triumphantly to the little bit of blue sky still visible.	true	176.64	188.52	20.984676
5400_3587_000018_000001	"There, now, see, it can't rain yet awhile."	"There, now, see, it can't rain yet awhile."	true	188.52	191.11	20.053291
5400_3587_000019_000000	"Well," said Mrs. Pepper, while Phronsie, standing in a chair with her face pressed close to the cage, was telling Cherry through the bars "not to be hungry, please don't!" which he didn't seem to mind in the least, but went on screaming harder than ever!	"Well," said mrs Pepper, while Phronsie, standing in a chair with her face pressed close to the cage, was telling Cherry through the bars "not to be hungry, please don't!" which he didn't seem to mind in the least, but went on screaming harder than ever!	true	191.36	204.22	22.775063
5400_3587_000019_000001	"And besides, 'tisn't much use to wait for Ben.	"And besides, 'tisn't much use to wait for Ben.	true	204.53	207.45	24.383482
5400_3587_000019_000002	Nobody knows where he'll get shoes to fit himself and Joe and Davie, in one afternoon!	Nobody knows where he'll get shoes to fit himself and Joe and Davie, in one afternoon!	true	207.45	212.41	18
5400_3587_000019_000003	But be sure, Polly, to hurry, for it's getting late, and I shall be worried about you.	But be sure, Polly, to hurry, for it's getting late, and I shall be worried about you.	true	212.57	216.73	22
5400_3587_000020_000000	"Oh, mamsie," said Polly, turning back just a minute, "I know the way to Fletcher's just as easy as anything.	"Oh, mamsie," said Polly, turning back just a minute, "I know the way to Fletcher's just as easy as anything.	true	216.8	221.715	23.668283
5400_3587_000020_000001	I couldn't get lost."	I couldn't get lost."	true	221.715	223.02	22.798227
5400_3587_000021_000000	"I know you do," said Mrs. Pepper, "but it'll be dark early on account of the shower.	"I know you do," said mrs Pepper, "but it'll be dark early on account of the shower.	true	223.02	227.11	21
5400_3587_000021_000001	Well," she said, pulling out her well-worn purse from her pocket, "if it does sprinkle, you get into a car, Polly, remember."	Well," she said, pulling out her well worn purse from her pocket, "if it does sprinkle, you get into a car, Polly, remember."	true	227.15	234.43	26.911312
5400_3587_000022_000000	"Oh, yes, I will," she cried, taking the purse.	"Oh, yes, I will," she cried, taking the purse.	true	234.74	237.13	18.73607
5400_3587_000023_000000	"And there's ten cents for your bird seed in that pocket," said Mrs. Pepper, pointing to a coin racing away into a corner by itself.	"And there's ten cents for your bird seed in that pocket," said mrs Pepper, pointing to a coin racing away into a corner by itself.	true	237.23	243.91	24.542791
5400_3587_000024_000000	"Yes'm," said Polly, wild to be off.	"Yes'm," said Polly, wild to be off.	true	244.04	246.61	23.439577
5400_3587_000025_000000	"And there's a five-cent piece in that one for you to ride up with," said her mother, tying up the purse carefully.	"And there's a five cent piece in that one for you to ride up with," said her mother, tying up the purse carefully.	true	246.77	251.83	26.991282
5400_3587_000025_000001	"Remember, for you to ride up with.	"Remember, for you to ride up with.	true	252.26	254.05	26.174274
5400_3587_000025_000002	Well, I guess you better ride up anyway, Polly, come to think, and then you'll get home all the quicker."	Well, I guess you better ride up anyway, Polly, come to think, and then you'll get home all the quicker."	true	254.42	259.69	27.362286
5400_3587_000026_000000	"Where you going?" asked Phronsie, who on seeing the purse knew there was some expedition on foot, and beginning to clamber down out of the chair.	"Where you going?" asked Phronsie, who on seeing the purse knew there was some expedition on foot, and beginning to clamber down out of the chair.	true	260.15	267.07	23
5400_3587_000026_000001	"Oh, I want to go too, I do.	"Oh, I want to go too, I do.	true	267.41	269.46	31.48119
5400_3587_000026_000002	Take me, Polly!"	Take me, Polly!"	true	269.46	270.64	33.496292
