597_133239_000004_000000	MEMORY RHYMES.	MEMORY RHYMES.
597_133239_000005_000000	The Months.	The Months.
597_133239_000007_000000	Birthdays.	Birthdays.
597_133239_000008_000000	Monday for health, Tuesday for wealth, Wednesday best of all, Thursday for crosses, Friday for losses, Saturday no luck at all.	Monday for health, Tuesday for wealth, Wednesday best of all, Thursday for crosses, Friday for losses, Saturday no luck at all.
597_133239_000009_000000	The lines refer to the days of the week as birthdays.	The lines refer to the days of the week as birthdays.
597_133239_000009_000001	They are, in idea, the same as the more familiar lines:	They are, in idea, the same as the more familiar lines:
597_133239_000010_000000	Monday's child is fair of face, Tuesday's child is full of grace; Wednesday's child is merry and glad, Thursday's child is sorry and sad; Friday's child is loving and giving; Saturday's child must work for its living; While the child that is born on the Sabbath day Is blithe and bonny and good and gay.	Monday's child is fair of face, Tuesday's child is full of grace; Wednesday's child is merry and glad, Thursday's child is sorry and sad; Friday's child is loving and giving; Saturday's child must work for its living; While the child that is born on the Sabbath day Is blithe and bonny and good and gay.
597_133239_000011_000000	Short Grammar.	Short Grammar.
597_133239_000013_000000	To Tell the Age of Horses.	To Tell the Age of Horses.
597_133239_000014_000000	To tell the age of any horse, Inspect the lower jaw, of course; The six front teeth the tale will tell, And every doubt and fear dispel.	To tell the age of any horse, Inspect the lower jaw, of course; The six front teeth the tale will tell, And every doubt and fear dispel.
597_133239_000015_000000	Two middle "nippers" you behold Before the colt is two weeks old, Before eight weeks will two more come; Eight months the "corners" cut the gum. The outside grooves will disappear From middle two in just one year. In two years, from the second pair; In three, the corners, too, are bare.	Two middle "nippers" you behold Before the colt is two weeks old, Before eight weeks will two more come; Eight months the "corners" cut the gum. The outside grooves will disappear From middle two in just one year. In two years, from the second pair; In three, the corners, too, are bare.
597_133239_000018_000000	A swarm of bees in May Is worth a load of hay; A swarm of bees in June Is worth a silver spoon; A swarm of bees in July Is not worth a fly.	A swarm of bees in May Is worth a load of hay; A swarm of bees in June Is worth a silver spoon; A swarm of bees in July Is not worth a fly.
597_133239_000019_000000	The Cuckoo.	The Cuckoo.
597_133239_000020_000000	May--sings all the day; June--changes his tune; July--prepares to fly; August--go he must.	May-sings all the day; June-changes his tune; July-prepares to fly; August-go he must.
597_133239_000021_000000	Rules for Riding.	Rules for Riding.
597_133239_000022_000000	Keep up your head and your heart, Your hands and your heels keep down, Press your knees close to your horse's side, And your elbows close to your own.	Keep up your head and your heart, Your hands and your heels keep down, Press your knees close to your horse's side, And your elbows close to your own.
597_133239_000023_000000	HAPPINESS DEFINED.	HAPPINESS DEFINED.
597_133239_000026_000000	A "will-o'-the-wisp" which eludes us even when we grasp it.	A "will o'-the wisp" which eludes us even when we grasp it.
597_133239_000027_000001	The ever-retreating summit on the hill of our ambition.	The ever retreating summit on the hill of our ambition.
597_133239_000028_000000	The prize at the top of a greasy pole which is continually slipping from one's grasp.	The prize at the top of a greasy pole which is continually slipping from one's grasp.
597_133239_000029_000000	The only thing a man continues to search for after he has found it.	The only thing a man continues to search for after he has found it.
597_133239_000030_000000	The bull's-eye on the target at which all the human race are shooting.	The bull's eye on the target at which all the human race are shooting.
597_133239_000031_000000	The goal erected for the human race, which few reach, being too heavily handicapped.	The goal erected for the human race, which few reach, being too heavily handicapped.
597_133239_000032_000000	A wayside flower growing only by the path of duty.	A wayside flower growing only by the path of duty.
597_133239_000033_000000	A bright and beautiful butterfly, which many chase but few can take.	A bright and beautiful butterfly, which many chase but few can take.
597_133239_000034_000000	The interest we receive from capital invested in good works.	The interest we receive from capital invested in good works.
597_133239_000035_000000	The birthright of contentment.	The birthright of contentment.
597_133239_000036_000000	A treasure which we search for far and wide, though oft-times it is lying at our feet.	A treasure which we search for far and wide, though oft times it is lying at our feet.
