439_122809_000000_000000	"Do you hear the cock crow, Tukey?	"Do you hear the cock crow, Tukey?	false	0	1.95	100
439_122809_000000_000001	Cock-a-doodle-doo!	Cock a doodle doo!	false	1.95	2.52	2
439_122809_000000_000002	The cocks are flying up from Kjoge!	The cocks are flying up from k j o g e!	false	2.52	3.99	20
439_122809_000000_000003	You will have a farm-yard, so large, oh! so very large!	You will have a farm yard, so large, oh! so very large!	false	3.99	5.19	9.498583
439_122809_000000_000004	You will suffer neither hunger nor thirst!	You will suffer neither hunger nor thirst!	false	5.19	5.88	11
439_122809_000000_000005	You will get on in the world!	You will get on in the world!	false	5.88	6.51	-20
439_122809_000000_000006	You will be a rich and happy man!	You will be a rich and happy man!	false	6.51	6.69	24
439_122809_000000_000007	Your house will exalt itself like King Waldemar's tower, and will be richly decorated with marble statues, like that at Prastoe.	Your house will exalt itself like King Waldemar's tower, and will be richly decorated with marble statues, like that at Prastoe.	false	6.69	7.17	-2
439_122809_000000_000008	You understand what I mean.	You understand what I mean.	false	7.17	7.29	3
439_122809_000000_000009	Your name shall circulate with renown all round the earth, like unto the ship that was to have sailed from Corsor; and in Roeskilde--"	Your name shall circulate with renown all round the earth, like unto the ship that was to have sailed from Corsor; and in Roeskilde-"	false	7.29	10.08	21.347065
439_122809_000001_000000	"Do not forget the diet!" said King Hroar.	"Do not forget the diet!" said King Hroar.	false	10.08	11.1	26.91878
439_122809_000002_000000	"Then you will speak well and wisely, little Tukey; and when at last you sink into your grave, you shall sleep as quietly--"	"Then you will speak well and wisely, little Tukey; and when at last you sink into your grave, you shall sleep as quietly-"	false	11.1	14.88	18.260145
439_122809_000003_000000	"As if I lay in Soroe," said Tuk, awaking.	"As if I lay in Soroe," said Tuk, awaking.	false	14.88	16.38	11.578597
439_122809_000003_000001	It was bright day, and he was now quite unable to call to mind his dream; that, however, was not at all necessary, for one may not know what the future will bring.	It was bright day, and he was now quite unable to call to mind his dream; that, however, was not at all necessary, for one may not know what the future will bring.	false	16.38	22.89	20.564539
439_122809_000004_000000	And out of bed he jumped, and read in his book, and now all at once he knew his whole lesson.	And out of bed he jumped, and read in his book, and now all at once he knew his whole lesson.	false	22.89	23.52	10
439_122809_000004_000001	And the old washerwoman popped her head in at the door, nodded to him friendly, and said, "Thanks, many thanks, my good child, for your help!	And the old washerwoman popped her head in at the door, nodded to him friendly, and said, "Thanks, many thanks, my good child, for your help!	false	23.52	30.54	21.233074
439_122809_000004_000002	May the good ever-loving God fulfil your loveliest dream!"	May the good ever loving God fulfil your loveliest dream!"	false	30.54	31.05	100
439_122809_000005_000000	Little Tukey did not at all know what he had dreamed, but the loving God knew it.	Little Tukey did not at all know what he had dreamed, but the loving God knew it.	false	31.05	31.05	
439_122809_000006_000000	THE NAUGHTY BOY	THE NAUGHTY BOY	false	31.05	33.51	17.231087
439_122809_000007_000000	Along time ago, there lived an old poet, a thoroughly kind old poet.	Along time ago, there lived an old poet, a thoroughly kind old poet.	false	33.51	39.91	18.711987
439_122809_000007_000001	As he was sitting one evening in his room, a dreadful storm arose without, and the rain streamed down from heaven; but the old poet sat warm and comfortable in his chimney-corner, where the fire blazed and the roasting apple hissed.	As he was sitting one evening in his room, a dreadful storm arose without, and the rain streamed down from heaven; but the old poet sat warm and comfortable in his chimney corner, where the fire blazed and the roasting apple hissed.	true	40.82	57.88	18.022966
439_122809_000008_000000	"Those who have not a roof over their heads will be wetted to the skin," said the good old poet.	"Those who have not a roof over their heads will be wetted to the skin," said the good old poet.	true	59.03	64.92	18
439_122809_000009_000000	"Oh let me in!	"Oh let me in!	false	64.92	67.14	18.455387
439_122809_000009_000001	Let me in!	Let me in!	true	67.14	68.29	18
439_122809_000009_000002	I am cold, and I'm so wet!" exclaimed suddenly a child that stood crying at the door and knocking for admittance, while the rain poured down, and the wind made all the windows rattle.	I am cold, and I'm so wet!" exclaimed suddenly a child that stood crying at the door and knocking for admittance, while the rain poured down, and the wind made all the windows rattle.	true	68.33	81.34	16
439_122809_000010_000000	"Poor thing!" said the old poet, as he went to open the door.	"Poor thing!" said the old poet, as he went to open the door.	true	82.13	87.01	23.939234
439_122809_000010_000001	There stood a little boy, quite naked, and the water ran down from his long golden hair; he trembled with cold, and had he not come into a warm room he would most certainly have perished in the frightful tempest.	There stood a little boy, quite naked, and the water ran down from his long golden hair; he trembled with cold, and had he not come into a warm room he would most certainly have perished in the frightful tempest.	false	87.98	103.09	18.610363
439_122809_000011_000000	"Poor child!" said the old poet, as he took the boy by the hand.	"Poor child!" said the old poet, as he took the boy by the hand.	true	103.97	108.97	22.873127
