957_132568_000000_000000	'Come,' said Sebastian, 'let us go to our posts--the moon is setting. Good night, lady!'	'Come,' said Sebastian, 'let us go to our posts-the moon is setting. Good night, lady!'	false	0	6.84	13.813312
957_132568_000001_000000	'Aye, let us go,' rejoined Roberto. 'Good night, lady.'	'Aye, let us go,' rejoined Roberto. 'Good night, lady.'	false	6.84	8.88	19.572268
957_132568_000002_000000	'Good night; the holy mother guard you!' said Emily, as she closed her casement and retired to reflect upon the strange circumstance that had just occurred, connecting which with what had happened on former nights, she endeavoured to derive from the whole something more positive, than conjecture.	'Good night; the holy mother guard you!' said Emily, as she closed her casement and retired to reflect upon the strange circumstance that had just occurred, connecting which with what had happened on former nights, she endeavoured to derive from the whole something more positive, than conjecture.	false	8.88	19.32	19.537886
957_132568_000002_000001	But her imagination was inflamed, while her judgment was not enlightened, and the terrors of superstition again pervaded her mind.	But her imagination was inflamed, while her judgment was not enlightened, and the terrors of superstition again pervaded her mind.	false	19.32	23.115	21.131168
957_132568_000003_000000	CHAPTER IV	CHAPTER four	true	23.115	24.07	19
957_132568_000004_000000	There is one within, Besides the things, that we have heard and seen, Recounts most horrid sights, seen by the watch. JULIUS CAESAR	There is one within, Besides the things, that we have heard and seen, Recounts most horrid sights, seen by the watch. JULIUS CAESAR	true	26.24	36.4	18.357885
957_132568_000005_000000	In the morning, Emily found Madame Montoni nearly in the same condition, as on the preceding night; she had slept little, and that little had not refreshed her; she smiled on her niece, and seemed cheered by her presence, but spoke only a few words, and never named Montoni, who, however, soon after, entered the room.	In the morning, Emily found Madame Montoni nearly in the same condition, as on the preceding night; she had slept little, and that little had not refreshed her; she smiled on her niece, and seemed cheered by her presence, but spoke only a few words, and never named Montoni, who, however, soon after, entered the room.	true	38.36	59.41	19.586637
957_132568_000005_000001	His wife, when she understood that he was there, appeared much agitated, but was entirely silent, till Emily rose from a chair at the bed-side, when she begged, in a feeble voice, that she would not leave her.	His wife, when she understood that he was there, appeared much agitated, but was entirely silent, till Emily rose from a chair at the bed side, when she begged, in a feeble voice, that she would not leave her.	true	60.23	73.69	19.744759
957_132568_000006_000000	The visit of Montoni was not to sooth his wife, whom he knew to be dying, or to console, or to ask her forgiveness, but to make a last effort to procure that signature, which would transfer her estates in Languedoc, after her death, to him rather than to Emily.	The visit of Montoni was not to sooth his wife, whom he knew to be dying, or to console, or to ask her forgiveness, but to make a last effort to procure that signature, which would transfer her estates in Languedoc, after her death, to him rather than to Emily.	false	76.13	93.64	21.719152
957_132568_000006_000001	This was a scene, that exhibited, on his part, his usual inhumanity, and, on that of Madame Montoni, a persevering spirit, contending with a feeble frame; while Emily repeatedly declared to him her willingness to resign all claim to those estates, rather than that the last hours of her aunt should be disturbed by contention.	This was a scene, that exhibited, on his part, his usual inhumanity, and, on that of Madame Montoni, a persevering spirit, contending with a feeble frame; while Emily repeatedly declared to him her willingness to resign all claim to those estates, rather than that the last hours of her aunt should be disturbed by contention.	false	94.79	116.32	20.056524
957_132568_000006_000002	Montoni, however, did not leave the room, till his wife, exhausted by the obstinate dispute, had fainted, and she lay so long insensible, that Emily began to fear that the spark of life was extinguished.	Montoni, however, did not leave the room, till his wife, exhausted by the obstinate dispute, had fainted, and she lay so long insensible, that Emily began to fear that the spark of life was extinguished.	true	117.32	129.52	19.945122
957_132568_000006_000003	At length, she revived, and, looking feebly up at her niece, whose tears were falling over her, made an effort to speak, but her words were unintelligible, and Emily again apprehended she was dying.	At length, she revived, and, looking feebly up at her niece, whose tears were falling over her, made an effort to speak, but her words were unintelligible, and Emily again apprehended she was dying.	true	131	143.8	20.176817
957_132568_000006_000004	Afterwards, however, she recovered her speech, and, being somewhat restored by a cordial, conversed for a considerable time, on the subject of her estates in France, with clearness and precision.	Afterwards, however, she recovered her speech, and, being somewhat restored by a cordial, conversed for a considerable time, on the subject of her estates in France, with clearness and precision.	true	145.01	156.64	21.330408
957_132568_000006_000005	She directed her niece where to find some papers relative to them, which she had hitherto concealed from the search of Montoni, and earnestly charged her never to suffer these papers to escape her.	She directed her niece where to find some papers relative to them, which she had hitherto concealed from the search of Montoni, and earnestly charged her never to suffer these papers to escape her.	false	157.22	168.07	21.396988
957_132568_000007_000000	Soon after this conversation, Madame Montoni sunk into a dose, and continued slumbering, till evening, when she seemed better than she had been since her removal from the turret.	Soon after this conversation, Madame Montoni sunk into a dose, and continued slumbering, till evening, when she seemed better than she had been since her removal from the turret.	true	169.97	181.12	19.424347
957_132568_000007_000001	Emily never left her, for a moment, till long after midnight, and even then would not have quitted the room, had not her aunt entreated, that she would retire to rest.	Emily never left her, for a moment, till long after midnight, and even then would not have quitted the room, had not her aunt entreated, that she would retire to rest.	false	181.67	191.2	20.393927
957_132568_000007_000002	She then obeyed, the more willingly, because her patient appeared somewhat recruited by sleep; and, giving Annette the same injunction, as on the preceding night, she withdrew to her own apartment.	She then obeyed, the more willingly, because her patient appeared somewhat recruited by sleep; and, giving Annette the same injunction, as on the preceding night, she withdrew to her own apartment.	false	191.6	202.21	21.128502
957_132568_000007_000003	But her spirits were wakeful and agitated, and, finding it impossible to sleep, she determined to watch, once more, for the mysterious appearance, that had so much interested and alarmed her.	But her spirits were wakeful and agitated, and, finding it impossible to sleep, she determined to watch, once more, for the mysterious appearance, that had so much interested and alarmed her.	true	202.25	213.43	20.94983
957_132568_000008_000000	It was now the second watch of the night, and about the time when the figure had before appeared.	It was now the second watch of the night, and about the time when the figure had before appeared.	true	215.03	219.91	19
957_132568_000008_000001	Emily heard the passing steps of the sentinels, on the rampart, as they changed guard; and, when all was again silent, she took her station at the casement, leaving her lamp in a remote part of the chamber, that she might escape notice from without. The moon gave a faint and uncertain light, for heavy vapours surrounded it, and, often rolling over the disk, left the scene below in total darkness.	Emily heard the passing steps of the sentinels, on the rampart, as they changed guard; and, when all was again silent, she took her station at the casement, leaving her lamp in a remote part of the chamber, that she might escape notice from without. The moon gave a faint and uncertain light, for heavy vapours surrounded it, and, often rolling over the disk, left the scene below in total darkness.	false	220.61	244.48	20.574596
957_132568_000008_000002	It was in one of these moments of obscurity, that she observed a small and lambent flame, moving at some distance on the terrace.	It was in one of these moments of obscurity, that she observed a small and lambent flame, moving at some distance on the terrace.	true	245.24	252.94	20
957_132568_000008_000003	While she gazed, it disappeared, and, the moon again emerging from the lurid and heavy thunder clouds, she turned her attention to the heavens, where the vivid lightnings darted from cloud to cloud, and flashed silently on the woods below.	While she gazed, it disappeared, and, the moon again emerging from the lurid and heavy thunder clouds, she turned her attention to the heavens, where the vivid lightnings darted from cloud to cloud, and flashed silently on the woods below.	true	254.36	267.55	21.257162
957_132568_000008_000004	She loved to catch, in the momentary gleam, the gloomy landscape.	She loved to catch, in the momentary gleam, the gloomy landscape.	true	268.7	273.04	19.65746
