4145_14013_000000_000000	CHAPTER XXII.	CHAPTER twenty two.	false	0.36	11.79	22.021482
4145_14013_000001_000000	"Helas! ou donc chercher ou trouver le bonheur, Nulle part tout entier, partout avec mesure!"	"Helas! ou donc chercher ou trouver le bonheur, Nulle part tout entier, partout avec mesure!"	false	11.79	24.87	23.54441
4145_14013_000002_000000	VOLTAIRE.	VOLTAIRE.	true	24.87	25.9	26.085611
4145_14013_000003_000000	SOME days before the expected _fete_ Lady Juliana, at the instigation of her adviser, Lady Gerard, resolved upon taking the field against the Duchess of L---.	SOME days before the expected underscore fete underscore Lady Juliana, at the instigation of her adviser, Lady Gerard, resolved upon taking the field against the Duchess of L---.	false	27.89	37.93	25.130972
4145_14013_000003_000001	Her Grace had issued cards for a concert; and after mature deliberation it was decided that her rival should strike out something new, and announce a christening for the same night.	Her Grace had issued cards for a concert; and after mature deliberation it was decided that her rival should strike out something new, and announce a christening for the same night.	true	38.42	48.82	24.177132
4145_14013_000004_000000	The first intimation Douglas had of the honour intended him by this arrangement was through the medium of the newspaper, for the husband and wife were now much too fashionable to be at all _au fait_ of each other's schemes.	The first intimation Douglas had of the honour intended him by this arrangement was through the medium of the newspaper, for the husband and wife were now much too fashionable to be at all underscore au fait underscore of each other's schemes.	false	49.58	62.41	24
4145_14013_000004_000001	His first emotion was to be extremely surprised; the next to be exceedingly displeased; and the last to be highly gratified at the _eclat_ with which his child was to be made a Christian. True, he had intended requesting the General to act as godfather upon the occasion; but Lady Juliana protested she would rather the child never should be christened at all (which already seemed nearly to have been the case) than have that cross vulgar-Iooking man to stand sponsor. Her Ladyship, however, so far conceded that the General was to have the honour of giving his name to the next, if a boy, for she was now near her second confinement; and, with this promise Henry was satisfied to slight the only being in the world to whom he looked for support to himself and his children.	His first emotion was to be extremely surprised; the next to be exceedingly displeased; and the last to be highly gratified at the underscore eclat underscore with which his child was to be made a Christian. True, he had intended requesting the General to act as godfather upon the occasion; but Lady Juliana protested she would rather the child never should be christened at all (which already seemed nearly to have been the case) than have that cross vulgar Iooking man to stand sponsor. Her Ladyship, however, so far conceded that the General was to have the honour of giving his name to the next, if a boy, for she was now near her second confinement; and, with this promise Henry was satisfied to slight the only being in the world to whom he looked for support to himself and his children.	false	62.63	110.17	23.554672
4145_14013_000004_000002	In the utmost delight the fond mother drove away to consult her confidants upon the name and decorations of the child, whom she had not even looked at for many days.	In the utmost delight the fond mother drove away to consult her confidants upon the name and decorations of the child, whom she had not even looked at for many days.	true	110.87	120.31	25
4145_14013_000005_000000	Everything succeeded to admiration.	Everything succeeded to admiration.	true	120.83	123.48	22.244408
4145_14013_000005_000001	Amid crowds of spectators, in all the pomp of lace and satin, surrounded by princes and peers, and handed from duchesses to countesses, the twin daughter of Henry Douglas, and the heroine of future story, became a Christian by the names of Adelaide Julia.	Amid crowds of spectators, in all the pomp of lace and satin, surrounded by princes and peers, and handed from duchesses to countesses, the twin daughter of Henry Douglas, and the heroine of future story, became a Christian by the names of Adelaide Julia.	false	123.48	140.2	24.381748
4145_14013_000006_000000	Some months previous to this event Lady Juliana had received a letter from Mrs. Douglas, informing her of the rapid improvement that had taken place in her little charge, and requesting to know by what name she should have her christened; at the same time gently insinuating her wish that, in compliance with the custom of the country, and as a compliment due to the family, it should be named after his paternal grandmother.	Some months previous to this event Lady Juliana had received a letter from mrs Douglas, informing her of the rapid improvement that had taken place in her little charge, and requesting to know by what name she should have her christened; at the same time gently insinuating her wish that, in compliance with the custom of the country, and as a compliment due to the family, it should be named after his paternal grandmother.	false	140.48	165.28	23.34343
4145_14013_000007_000000	Lady Juliana glanced over the first line of the letter, then looked at the signature, resolved to read the rest as soon as she should have time to answer it; and in the meantime tossed it into a drawer, amongst old visiting cards and unpaid bills.	Lady Juliana glanced over the first line of the letter, then looked at the signature, resolved to read the rest as soon as she should have time to answer it; and in the meantime tossed it into a drawer, amongst old visiting cards and unpaid bills.	true	166.25	180.46	24.60058
4145_14013_000008_000000	After vainly waiting for an answer, much beyond the accustomed time when children are baptized, Mrs. Douglas could no longer refuse to accede to the desires of the venerable inmates of Glenfern; and about a month before her favoured sister received her more elegant appellations, the neglected twin was baptized by the name of Mary.	After vainly waiting for an answer, much beyond the accustomed time when children are baptized, mrs Douglas could no longer refuse to accede to the desires of the venerable inmates of Glenfern; and about a month before her favoured sister received her more elegant appellations, the neglected twin was baptized by the name of Mary.	true	180.65	200.35	23.559978
4145_14013_000009_000000	Mrs. Douglas's letter had been enclosed in the following one from Miss Grizzy, and as it had not the good fortune to be perused by the person to whom it was addressed, we deem it but justice to the writer to insert it here:--	mrs Douglas's letter had been enclosed in the following one from Miss Grizzy, and as it had not the good fortune to be perused by the person to whom it was addressed, we deem it but justice to the writer to insert it here:--	true	200.96	213.73	23.20498
4145_14013_000010_000000	"GLENFERN CASTLE, _July 30th,_ 17--.	"GLENFERN CASTLE, underscore july thirtieth,underscore seventeen--.	false	214.7	219.37	24.941702
4145_14013_000011_000000	"My DEAREST NIECE, LADY JULIANA--I am Certain, as indeed we all are, that it will Afford your Ladyship and our dear Nephew the greatest Pleasure to see this letter Franked by our Worthy and Respectable Friend Sir Sampson Maclaughlan, Bart., especially as it is the First he has ever franked; out of compliment to you, as I assure you he admires you excessively, as indeed we all do.	"My DEAREST NIECE, LADY JULIANA-I am Certain, as indeed we all are, that it will Afford your Ladyship and our dear Nephew the greatest Pleasure to see this letter Franked by our Worthy and Respectable Friend Sir Sampson Maclaughlan, Bart., especially as it is the First he has ever franked; out of compliment to you, as I assure you he admires you excessively, as indeed we all do.	true	220.01	243.25	23.337273
4145_14013_000011_000001	At the same Time, you will of course, I am sure, Sympathise with us all in the distress Occasioned by the melancholy Death of our late Most Obliging Member, Duncan M'Dunsmuir, Esquire, of Dhunacrag and Auchnagoil, who you never have had the Pleasure of seeing.	At the same Time, you will of course, I am sure, Sympathise with us all in the distress Occasioned by the melancholy Death of our late Most Obliging Member, Duncan M'Dunsmuir, Esquire, of Dhunacrag and Auchnagoil, who you never have had the Pleasure of seeing.	true	243.56	260.47	23.477486
4145_14013_000011_000002	What renders his death Particularly distressing, is, that Lady Maclaughlan is of opinion it was entirely owing to eating Raw oysters, and damp feet.	What renders his death Particularly distressing, is, that Lady Maclaughlan is of opinion it was entirely owing to eating Raw oysters, and damp feet.	false	260.81	270.46	23.748327
4145_14013_000011_000003	This ought to be a warning to all Young people to take care of Wet feet, and Especially eating Raw oysters, which are certainly Highly dangerous, particularly where there is any Tendency to Gout.	This ought to be a warning to all Young people to take care of Wet feet, and Especially eating Raw oysters, which are certainly Highly dangerous, particularly where there is any Tendency to Gout.	true	270.5	282.58	24.985735
4145_14013_000011_000004	I hope, my dear Niece, you have got a pair of Stout walking shoes, and that both Henry and you remember to Change your feet after Walking. I am told Raw Oysters are much the fashion in London at present; but when this Fatal Event comes to be Known, it will of course Alarm people very much, and put them upon their guard both as to Damp Feet and Raw oysters.	I hope, my dear Niece, you have got a pair of Stout walking shoes, and that both Henry and you remember to Change your feet after Walking. I am told Raw Oysters are much the fashion in London at present; but when this Fatal Event comes to be Known, it will of course Alarm people very much, and put them upon their guard both as to Damp Feet and Raw oysters.	true	283.19	303.94	24.15451
4145_14013_000011_000005	Lady Maclaughlan is in High spirits at Sir Sampson's Success, though, at the Same Time, I assure you, she Felt much for the Distress of poor Mr. M'Dunsmuir, and had sent him a Large Box of Pills, and a Bottle of Gout Tincture, only two days before he died.	Lady Maclaughlan is in High spirits at Sir Sampson's Success, though, at the Same Time, I assure you, she Felt much for the Distress of poor mr M'Dunsmuir, and had sent him a Large Box of Pills, and a Bottle of Gout Tincture, only two days before he died.	true	304.88	320.59	23.462254
4145_14013_000011_000006	This will be a great Thing for you, and especially for Henry, my dear niece, as Sir Sampson and Lady Maclaughlan are going to London directly to take his Seat in Parliament; and she will make a point of Paying you every attention, and will Matronise you to the play, and any other Public places you may wish to go; as both my Sisters and I are of opinion you are rather Young to matronise yourself yet, and you could not get a more Respectable Matron than Lady Maclaughlan.	This will be a great Thing for you, and especially for Henry, my dear niece, as Sir Sampson and Lady Maclaughlan are going to London directly to take his Seat in Parliament; and she will make a point of Paying you every attention, and will Matronise you to the play, and any other Public places you may wish to go; as both my Sisters and I are of opinion you are rather Young to matronise yourself yet, and you could not get a more Respectable Matron than Lady Maclaughlan.	false	321.14	346.81	23
4145_14013_000011_000007	I hope Harry wont take it amiss if Sir Sampson does not pay him so much Attention as he might expect; but he says that he will not be master of a moment of his own Time in London.	I hope Harry wont take it amiss if Sir Sampson does not pay him so much Attention as he might expect; but he says that he will not be master of a moment of his own Time in London.	true	347.6	357.73	21.720089
4145_14013_000011_000008	He will be so much taken up with the King and the Duke of York, that he is afraid he will Disoblige a great Number of the Nobility by it, besides injuring his own health by such Constant application to business.	He will be so much taken up with the King and the Duke of York, that he is afraid he will Disoblige a great Number of the Nobility by it, besides injuring his own health by such Constant application to business.	true	357.77	369.91	25.640251
4145_14013_000011_000009	He is to make a very fine Speech in Parliament, but it is not yet Fixed what his First Motion is to be upon.	He is to make a very fine Speech in Parliament, but it is not yet Fixed what his First Motion is to be upon.	true	370.19	376.42	23.172808
